流水號,文字記錄,配置,刺殺,分類,日期時間,場次,check,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,最佳,
345,"490 1+
247 1+
379
240
590
oox",539701,,模擬,2023-12-11 00:00:00,4,,,HAO,雪怪,池,軒,Sin,,,,,,,
346,"126
289
358
149
578
oox",934850,,模擬,2023-12-11 00:00:00,5,,"258黃某人
145JOY",Dean,TEN,熊,軒,黑羊,,,,,,,
347,"156
248
359
478
157
oox
4670
4780
1480
1390
1280
ooxx
0>4 o",692154,,模擬,"2023/12/11
2024/4/16",1,,"258HAO
580Dean

1780 ooox 0>4 o貝沙
4580 oooo HAO",JOY,洋蔥,黃某人,TEN,Sin,ED,Dean,黃某人,Sin,軒,,
348,"149
268
389
169 4+
456
oox",042783,,模擬,2023-12-12 00:00:00,1,,,Dean,黑羊,JOY,午夜,Sin,,,,,,,
349,"478 1+
279
237
148
259
oox",372658,,模擬,2023-12-12 00:00:00,2,,"458ED
590Dean",午夜,Sirius,JOY,軒,Sin,,,,,,,
350,"158
270
580 3+
148
458
oox",490721,,模擬,2023-12-12 00:00:00,3,,,小背包,轆,池,黑羊,黃某人,,,,,,,
351,"146
248 1+
389
168 24+
568
oox",035196,,模擬,2023-12-12 00:00:00,4,,,HAO,黃某人,池,TEN,Sin,,,,,,,
352,"169
267
347
126 4+
256
oox",702984,,模擬,2023-12-12 00:00:00,5,,,TEN,小背包,黃某人,雪怪,午夜,,,,,,,
353,"178
260
346
347
158
oox",196240,,模擬,2023-12-13 00:00:00,1,,,黃某人,JOY,池,黑羊,軒,,,,,,,
354,"345 1+3-
238
236
245
256
oox",682091,,模擬,2023-12-13 00:00:00,2,,,TEN,JOY,池,Dean,海月,,,,,,,
355,"128
268
359
347
589
oox",697421,,模擬,2023-12-13 00:00:00,3,,,午夜,黃某人,黑羊,雪怪,海月,,,,,,,
356,"167
278
347
479
457
oox",149052,,模擬,2023-12-13 00:00:00,4,,257海月,午夜,JOY,黃某人,豬羊,黑羊,,,,,,,
357,"137
289
370
479
259
oox",853641,,模擬,2023-12-13 00:00:00,5,,,Dean,黑羊,TEN,黃某人,小背包,,,,,,,
358,"145
248
367
458
259
oxx",819253,,模擬,2023-12-13 00:00:00,6,,,黑羊,洋蔥,JOY,黃某人,海月,,,,,,,
359,"189
278
379
145
258
oxx",720816,,模擬,2023-12-14 00:00:00,1,,145Kevin,Dean,黃某人,Sin,轆,軒,,,,,,,
360,"167
249
347
237 4+
156
oox",169852,,模擬,2023-12-14 00:00:00,2,,,TEN,Dean,黑羊,Kevin,JOY,,,,,,,
361,"179
267
139
246
256
oox",093657,,模擬,2023-12-14 00:00:00,3,,"257TEN
245熊",雪怪,Sin,黃某人,軒,Kevin,,,,,,,
362,"180
238
356
489
158
oox
3569
4579
4789
1579
1230
ooxx
0>3 ?",079124,,模擬,"2023/12/14
2024/9/27",1,,"都派過
258黃某人
458軒",雪怪,小背包,JOY,Dean,HAO,黑羊,豬豬,軒,Sin,布叮咚瓜茶,,
363,"469 1+
267
389
160 4+ 1-
259
oox",793254,,模擬,2023-12-15 00:00:00,1,,"150Sin
568Dean",ED,黃某人,池,HAO,Kevin,,,,,,,
364,"369 1-
268
235
478
356
oox",431529,,模擬,2023-12-15 00:00:00,2,,,ED,黃某人,池,TEN,HAO,,,,,,,
365,"249 1-
267
340 1+
247
350
oox",803524,,模擬,2023-12-15 00:00:00,3,,,ED,黃某人,JOY,Sirius,Sin,,,,,,,
366,"360 1-
234
348
234
356
oox",326051,,模擬,2023-12-15 00:00:00,4,,,ED,Sin,JOY,Dean,黃某人,,,,,,,
367,"168
289
347
457
158
oox",814693,,模擬,2023-12-15 00:00:00,5,,,ED,TEN,池,軒,JOY,,,,,,,
368,"260 1+
238
136
480
245
oox",714835,,模擬,2023-12-15 00:00:00,6,,,ED,TEN,JOY,黃某人,雪怪,,,,,,,
369,"138
278
349
148
135
oox",639784,,模擬,2023-12-15 00:00:00,7,,125海月、池,ED,黑羊,TEN,HAO,JOY,,,,,,,
370,"169
247
379
145
159
oox",934082,,模擬,2023-12-16 00:00:00,1,,,ED,JOY,池,黑羊,TEN,,,,,,,
371,"146
258
389
245
359
oox",396024,,模擬,2023-12-16 00:00:00,2,,,布叮咚瓜茶,池,黃某人,TEN,Sin,,,,,,,
372,"179
289
258 3+
470
358
oox",529341,,模擬,2023-12-17 00:00:00,1,,,TEN,Sin,池,熊,Dean,,,,,,,
373,"135
268
389
458
245
ooo",7052,,模擬,2023-12-17 00:00:00,2,v,不出,Dean,黑羊,池,熊,TEN,,,,,,,
374,"170
237
345
467
157
oox",671530,,模擬,2023-12-18 00:00:00,1,,,JOY,Sin,Dean,黃某人,海月,,,,,,,
375,"169
290
367
480
156
oox",684302,,模擬,2023-12-18 00:00:00,2,,,Sin,JOY,海月,Dean,彥呈,,,,,,,
376,"167
269
138
489
156
oox",350462,,模擬,2023-12-18 00:00:00,3,,,JOY,TEN,彥呈,黃某人,熊,,,,,,,
377,"169
238
389
124
157
oxx",1027x3,,,2023-12-18 00:00:00,4,,網頁跳掉，派西開689,Sirius,黃某人,黑羊,HAO,TEN,,,,,,,
378,"130
270
379
458
569
ooo",041835,,模擬,2023-12-19 00:00:00,1,v,,JOY,黃某人,海月,開司,HAO,,,,,,,
379,"140
247
367
578 4+
568
oox",860279,,模擬,2023-12-19 00:00:00,2,,145HAO,Dean,軒,黃某人,海月,池,,,,,,,
380,"578 1+
256
368
248
358
ooo",019465,,模擬,2023-12-20 00:00:00,1,v,,HAO,Dean,黃某人,彥呈,池,,,,,,,
381,"679 1+
479 2+
348
490
358
oxx",068542,,模擬,2023-12-20 00:00:00,2,,,Kevin,雪怪,JOY,黃某人,池,,,,,,,
382,"160
259
379
149
357
oox",379451,,模擬,2023-12-20 00:00:00,3,,"250池
258雪怪
156Sin",Dean,毛爸,Sirius,TEN,黃某人,,,,,,,
383,"149
235
348
457
345
oox",875391,,模擬,2023-12-21 00:00:00,1,,,黑羊,Kevin,轆,JOY,池,,,,,,,
384,"137
270
369
348
358
oox",210879,,模擬,2023-12-21 00:00:00,2,,"345池
356Sin",Dean,海月,JOY,ED,黃某人,,,,,,,
385,"390 1+
237
256 3+
489
259
oox",870956,,模擬,2023-12-21 00:00:00,3,,,JOY,ED,海月,TEN,黃某人,,,,,,,
386,"146
370 2+
690 3+
468
560
oox",208974,,模擬,2023-12-21 00:00:00,4,,,TEN,海月,HAO,雪怪,Dean,,,,,,,
387,"168
289
380
457
589
oox",027938,,模擬,2023-12-21 00:00:00,5,,458黃某人,Sin,TEN,海月,Dean,池,,,,,,,
388,"136 4+
260
158 3+
129 4+
135
oxx",783512,,模擬,2023-12-22 00:00:00,1,,,TEN,JOY,ED,海月,Sin,,,,,,,
389,"478 1+
348 2+
136
147
356
oox
1670
3478 8-
2380
1690
1450
ooox
0>5 x",594783,,模擬,"2023/12/23
2024/3/26",1,,"1670 ooox 0>4 x貝沙
2380 oooo午夜",HAO,黃某人,Dean,海月,池,洋蔥,池,HAO,JOY,ED,,
390,"169
236
237
679 4+
157
ooo",386041,,模擬,2023-12-25 00:00:00,1,v,only,黃某人,雪怪,海月,TEN,池,,,,,,,
391,"489 1+
259
357
248
578
oox",237948,,模擬,2023-12-26 00:00:00,1,,,JOY,ED,黃某人,海月,池,,,,,,,
392,"189
278
356
469
257
oox",492368,,模擬,2023-12-27 00:00:00,1,,,Sin,Kevin,JOY,黃某人,海月,,,,,,,
393,"179
247
160 3+
456
590
oox",098264,,模擬,2023-12-27 00:00:00,2,,現在,雪怪,JOY,ED,海月,池,,,,,,,
394,"127
240
367
469
258
oox",093821,,模擬,2023-12-27 00:00:00,3,,150JOY?,Dean,ED,雪怪,黃某人,池,,,,,,,
395,"123
289
237
490
257
oox",097431,,模擬,2023-12-27 00:00:00,4,,,TEN,池,彥呈,JOY,HAO,,,,,,,
396,"168
249
456 3+
468
345
oox",374019,,模擬,2023-12-27 00:00:00,5,,156JOY?,Kevin,TEN,池,HAO,ED,,,,,,,
397,"156
128
680 3+
256 4+
156
oox",613840,,模擬,2023-12-27 00:00:00,6,,,JOY,雪怪,池,黃某人,TEN,,,,,,,
398,"267 1+
270
347
149
250
oox",693278,,模擬,2023-12-28 00:00:00,1,,,黃某人,Dean,洋蔥,黑羊,池,,,,,,,
399,"178
236
358
479
358
oox",058941,,模擬,2023-12-28 00:00:00,2,,,池,彥呈,Dean,海月,Sin,,,,,,,
400,"149
270
358
479
157
oox",269713,,模擬,2023-12-29 00:00:00,1,,145黃某人,海月,ED,池,Sin,Dean,,,,,,,
401,"136
239
379
457
457
oox",189527,,模擬,2023-12-29 00:00:00,2,,,Sin,ED,黃某人,Dean,池,,,,,,,
402,"148
270
135
458
235
oox",702985,,模擬,2024-01-03 00:00:00,1,,,黃某人,黑羊,池,Sin,Dean,,,,,,,
403,"170
247
358
345
358
oox
170
247
358
345
358
oox
5670
4579
1680
3790
4570
ooox
0>4 x",428169,,模擬,"2024/1/4
2024/4/18",1,,,轆,TEN,洋蔥,黃某人,黑羊,軒,Sin,黑羊,午夜,黃某人,,
404,"368 1+
260
345
148
458
ooo",297086,,模擬,2024-01-04 00:00:00,1,,"156 JOY
345 燈泡
都派對",雪怪,TEN,Fish,黃某人,黑羊,,,,,,,
405,"178
269
359
345
459
oox",230961,,模擬,2024-01-05 00:00:00,1,,,黃某人,池,熊,Kevin,雪怪,,,,,,,
406,"158
237
136
340
135
oox",965412,,模擬,2023-07-25 00:00:00,2,,DC,TEN,梅粉,Sirius,南信子,ED,,,,,,,
407,"149
279
346
247
257 
oox",032154,,模擬,2023-07-24 00:00:00,3,,DC,梅粉,HAO,Sirius,軒,南信子,,,,,,,
408,"157
239
359
140
579
oox",982147,,模擬,2023-07-26 00:00:00,3,,DC,梅粉,海月,TEN,黑羊,CH,,,,,,,
409,"179
247
340
246
459
oox",582140,,模擬,2023-07-26 00:00:00,4,,DC,黑羊,TEN,梅粉,小背包,Sirius,,,,,,,
410,"168
234
380
346
358
oox",681972,,模擬,2023-07-27 00:00:00,1,,DC,梅粉,HAO,TEN,CH,小背包,,,,,,,
411,"148
235
379
468
157
ooo",690458,,模擬,2023-07-27 00:00:00,2,,DC,TEN,南信子,黑羊,Sirius,梅粉,,,,,,,
412,"169
237
370
147
457 
oxx",153420,,模擬,2023-07-27 00:00:00,3,,DC,Sirius,梅粉,HAO,小背包,黑羊,,,,,,,
413,"159
468 2+
370
148
450 
oox",279460,,模擬,2023-07-27 00:00:00,4,,DC,TEN,黑羊,南信子,Sirius,6U,,,,,,,
414,"160
480 2+
368
168 4+
158
oxx",138596,,模擬,2023-07-28 00:00:00,3,,DC,Sin,6U,黑羊,HAO,TEN,,,,,,,
415,"138 
250
357
146
135
oox",019368,,模擬,2023-07-28 00:00:00,4,,DC,6U,TEN,HAO,Sirius,Mike,,,,,,,
416,"178
258
567 3+
470
579
ooo",632890,,模擬,2023-07-28 00:00:00,5,,DC,黑羊,Sirius,6U,TEN,南信子,,,,,,,
417,"138
234
345
450
578 
oxx",052879,,模擬,2023-07-31 00:00:00,3,,DC,Sirius,ED,Sin,6U,小背包,,,,,,,
418,"156
279
346
140
359
oxx",508963,,模擬,2023-08-02 00:00:00,5,,DC,黑羊,小背包,Sirius,6U,TEN,,,,,,,
419,"189
258
490 3+
468
145
oxx",573140,,模擬,2023-08-01 00:00:00,3,,DC,黑羊,TEN,ED,Sirius,6U,,,,,,,
420,"145
278
379
140
357 
oxx",179356,,模擬,2023-08-06 00:00:00,2,,DC,6U,Sin,Sirius,TEN,南信子,,,,,,,
421,"179
236
349
147
456
oox
1467
4679
3489
1489
3470
ooox
0>4 x",478259,,模擬,"2023/8/7
2024/9/26",1,,DC,Sin,6U,Sirius,MH,黑羊,Dean,Sin,軒,TEN,黃某人,,
422,"478 1+
248
370
490
256
oox",249580,,模擬,2023-07-29 00:00:00,2,,DC,6U,TEN,小背包,Sirius,黑羊,,,,,,,
423,"158
279
348
145
259
ooo",641759,,模擬,2024-01-05 00:00:00,2,,,夆 ,池,黃某人,黑羊,羿廷,,,,,,,
424,"359 1+
269
158 3+
260 4+
589
ooo",360297,,模擬,2024-01-06 00:00:00,1,,,海月,Sin,池,TEN,HAO,,,,,,,
425,"148
289
128 3+
145
158
ooo",418602,,模擬,2024-01-07 00:00:00,1,,,Dean,ED,池,大星,黃某人,,,,,,,
426,"167
278
349
147
157
ooo",289045,,模擬,2024-01-07 00:00:00,2,,,午夜,池,TEN,雪怪,Sin,,,,,,,
427,"128
260
457 3+
579 4+
357
ooo",194653,,模擬,2024-01-10 00:00:00,1,,,轆,黑羊,池,黃某人,Sin,,,,,,,
428,"138
278
349
148
158
oox
3468
1247
2480
4689
1470
ooox
0>4 x",641952,,模擬,"2024/1/11
2024/3/28",1,,580Dean,轆,Sin,雪怪,彥呈,黃某人,轆,貝沙,雪怪,TEN,Ray,,
429,"158
278
128 3+
479
457
oox",976453,,模擬,2024-01-12 00:00:00,1,,158Dean Sin,夆 ,黑羊,黃某人,羿廷,池,,,,,,,
430,"167
268
357
146
156
ooo",029361,,模擬,2024-01-12 00:00:00,2,,都派過,JOY,雪怪,池,TEN,黑羊,,,,,,,
431,"179
125
348
147
159
oox",849302,,模擬,2024-01-15 00:00:00,1,,,Dean,池,雪怪,午夜,TEN,,,,,,,
432,"158
249
389
247
257
oxx",407289,,模擬,2024-01-16 00:00:00,1,,,TEN,布叮咚瓜茶,午夜,黑羊,發達,,,,,,,
433,"170
248
368
245
450
ooo",368795,,模擬,2024-01-17 00:00:00,1,,,TEN,洋蔥,池,Sin,Dean,,,,,,,
434,"136
249
367
149
459
oox",085714,,模擬,2024-01-17 00:00:00,2,,,洋蔥,TEN,Sin,羿廷,轆,,,,,,,
435,"168
256
358
169 4+
256
oox",016937,,模擬,2024-01-24 00:00:00,1,,,雪怪,午夜,黃某人,池,Sin,,,,,,,
436,"127
270
389
134
359
oox",945807,,模擬,2024-01-25 00:00:00,1,,,Sin,熊熊,池,彥呈,Dean,,,,,,,
437,"149
237
370
456
567
oox",697328,,模擬,2024-01-25 00:00:00,2,,,午夜,TEN,洋蔥,熊熊,池,,,,,,,
438,"157
238
359
457
157
oox
3468
4790
2478
1239
1230
ooox
0>4 x",748259,,模擬,"2024/1/29
2024/3/28",1,,,Dean,雪怪,池,言言,午夜,貝沙,海月,池,午夜,Ray,,
439,"150
289
369
245
570
oox",718946,,模擬,2024-01-30 00:00:00,1,,,夆 ,熊熊,黃某人,午夜,TEN,,,,,,,
440,"136
257
567 3+
469
257
oox",742961,,模擬,2024-01-30 00:00:00,2,,,夆 ,JOY,池,熊熊,ED,,,,,,,
441,"147
267
239
457
256
oox
1260
1347
1680
1237 9+
1470
ooox
0>4 x",980624,,模擬,"2024/1/31
2024/4/8",1,,,夆 ,午夜,Sin,黃某人,言言,ED,Sin,軒,午夜,TEN,,
442,"169
246
390
149
570
oox",290847,,模擬,2024-01-31 00:00:00,1,,,Sin,貝沙,熊熊,Dean,ED,,,,,,,
443,"167
370 2+
357 2+
489
450
oox
2360
3679
5680
1790
1790
ooox
0>4 x",016837,,模擬,"2024/2/1
2024/4/25",1,,,黃某人,HAO,Sin,午夜,貝沙,Sin,黃某人,ED,池,午夜,,
444,"147
278
238
247
235
oox",162804,,模擬,2024-02-01 00:00:00,1,,,夆 ,ED,黃某人,熊熊,Sin,,,,,,,
445,"149
169 2+
347
345
159
ooo",260349,,模擬,2024-02-02 00:00:00,1,,都派對,夆 ,池,TEN,Sin,貝沙,,,,,,,
446,"368 1+
278
349
389 4+
345
ooo",068273,,模擬,2024-02-02 00:00:00,2,,都派對,夆 ,Sin,JOY,池,黃某人,,,,,,,
447,"135
278
359
267 4+
135
oxx",396154,,模擬,2024-02-05 00:00:00,1,,,夆 ,黃某人,Sin,池,言言,,,,,,,
448,"138
249
158 3+
489
135
oox",625014,,模擬,2024-02-05 00:00:00,2,,,夆 ,言言,洋蔥,池,黃某人,,,,,,,
449,"147
234
359
245
145
oox
3569
1379
1780
1379
3570
ooxx
0>4 o",329581,,模擬,"2024/2/6
2024/9/9",1,,3560 ooxx 0>1 oSin,池,HAO,言言,午夜,Sin,軒,黃某人,黑羊,豬豬,?,,
450,"126
269
379
159 4+
459
oox",239014,,模擬,2024-02-08 00:00:00,1,,,Dean,TEN,午夜,HAO,池,,,,,,,
451,"189
259
378
458
158
oox",103754,,模擬,2024-02-14 00:00:00,1,,現在,池,洋蔥,黃某人,午夜,Sin,,,,,,,
452,"135
239
389
256 4+
456
oox",083652,,模擬,2024-02-15 00:00:00,1,,,夆 ,池,洋蔥,黑羊,海月,,,,,,,
453,"178
267
348
345
358
oox
2678
3470
1289
1348 9+
2680
ooox
0>2 o",813654,,模擬,"2024/2/15
2024/4/9",1,,,午夜,黃某人,池,海月,黑羊,黃某人,ED,海月,池,軒,,
454,"127
259
170 3+
450
150
oox
3568
1789
2589
1379
2460
ooox
0>3 o",742503,,模擬,"2024/2/15
2024/4/18",1,,,Dean,JOY,HAO,TEN,海月,JOY,HAO,軒,Sirius,池,,
455,"135 5-
238
368
169 4+
568
oox
3670
1370
1580
1369
1450
ooox
0>4 o",198732,,模擬,"2024/2/15
2024/9/11",1,,,夆 ,海月,TEN,池,ED,軒,池,Dean,豬豬,海月,,
456,"123
289
370
480
357
oox",418739,,模擬,2024-02-16 00:00:00,1,,,池,JOY,海月,Dean,ED,,,,,,,
457,"680 1+
256
370
148
560
oox",870496,,模擬,2024-02-16 00:00:00,2,,,HAO,JOY,Dean,海月,ED,,,,,,,
458,"137
126
359
390 4+
157
oox",769814,,模擬,2024-02-16 00:00:00,3,,125黃某人,JOY,Dean,海月,HAO,ED,,,,,,,
459,"137
270
390
130 4+
350
ooo",271980,,模擬,2024-02-16 00:00:00,4,,只有阿怪派,Dean,熊熊,海月,HAO,ED,,,,,,,
460,"147
239
357 2+
460
560
ooo",184270,,模擬,2024-02-16 00:00:00,5,,只有阿怪派,Dean,HAO,黑羊,海月,ED,,,,,,,
461,"128
260
689 3+
240
589
oox",215073,,模擬,2024-02-16 00:00:00,6,,,黑羊,Dean,池,HAO,ED,,,,,,,
462,"178
239
379
460
560
ooo","127945
",,模擬,2024-02-17 00:00:00,1,,,池,Sin,海月,Dean,ED,,,,,,,
463,"178
238
356
290 4+
259
oox",019326,,模擬,2024-02-17 00:00:00,2,,256TEN,池,午夜,Dean,海月,黑羊,,,,,,,
464,"138
240
136
349
159
oox",361508,,模擬,2024-02-17 00:00:00,3,,,Sin,TEN,Dean,布叮咚瓜茶,ED,,,,,,,
465,"156
268
370
480
560
oox",216730,,模擬,2024-02-18 00:00:00,1,,,JOY,海月,池,TEN,ED,,,,,,,
466,"156
269
347
459
459
oox",109724,,模擬,2024-02-18 00:00:00,2,,,貝沙,午夜,JOY,海月,Dean,,,,,,,
467,"149
278
346
246
589
oox",478630,,模擬,2024-02-21 00:00:00,1,,235海月,池,TEN,雪怪,布叮咚瓜茶,ED,,,,,,,
468,"189
125
369
457
125
oox
5670
5670
1489
1790
5670
ooox
0>5 o",631452,,模擬,"2024/2/26
2024/03/27",1,,,Dean,黑羊,TEN,奈奈,Sin,HAO,池,布叮咚瓜茶,黃某人,JOY,,
469,"167
239
368
147
259
oox",786240,,模擬,2024-02-29 00:00:00,1,,,池,Sin,黑羊,JOY,Vash,,,,,,,
470,"127
249
389
450
458
ooo",237946,,模擬,2024-03-01 00:00:00,1,,,午夜,TEN,HAO,池,Dean,,,,,,,
471,"168
290
389
146
150
ooo",783605,,模擬,2024-03-05 00:00:00,1,,,HAO,午夜,黃某人,布叮咚瓜茶,ED,,,,,,,
472,"148
259
138
467
156
ooo
",216098,,模擬,2024-03-05 00:00:00,2,,撞車,黑羊,HAO,池,Sin,午夜,,,,,,,
473,"129
249
345
479
159
oox",685742,,模擬,2024-03-05 00:00:00,3,,,黃某人,黑羊,TEN,布叮咚瓜茶,池,,,,,,,
474,"136
268
359
469
569
oox
4670
3670
3580
2479
2680
ooxx","819256
",,模擬,"2024/3/5
2024/8/2",1,,2680 ooxx布叮咚瓜茶,Dean,HAO,JOY,黃某人,ED,池,午夜,軒,黃某人,阿寶,,
475,"670 1+
237
379
147
145
oox",635289,,模擬,2024-03-05 00:00:00,4,,,HAO,JOY,池,Dean,ED,,,,,,,
476,"189
268
139
246
456
oox",281536,,模擬,2024-03-07 00:00:00,1,,,池,HAO,布叮咚瓜茶,黃某人,Sin,,,,,,,
477,"180
248
345
458
257
oox",290674,,模擬,2024-03-07 00:00:00,2,,,Dean,HAO,池,黃某人,黑羊,,,,,,,
478,"167
278
350
350 4+
357
oox
",614389,,模擬,2024-03-08 00:00:00,1,,,午夜,Sin,Dean,池,黑羊,,,,,,,
479,"178
289
135
269 4+
569
oox",829167,,模擬,2024-03-08 00:00:00,2,,,池,Sin,黑羊,黃某人,ED,,,,,,,
480,"138
269
389
145
589
oox",206583,,模擬,2024-03-12 00:00:00,1,,,Sin,彥呈,池,HAO,貝沙,,,,,,,
481,"149
238
358
147
568
oox",327654,,模擬,2024-03-12 00:00:00,2,,,HAO,Sin,Dean,布叮咚瓜茶,池,,,,,,,
482,"158
236
369
347
345
ooo",820197,,模擬,2024-03-12 00:00:00,3,,457Sin,池,黑羊,布叮咚瓜茶,Ober,貝沙,,,,,,,
483,"138
258
347
479
156
oox",493682,,模擬,2024-03-12 00:00:00,4,,158Ober,HAO,Dean,貝沙,池,TEN,,,,,,,
484,"125
290
389
478
125
oox",302871,,模擬,2024-03-15 00:00:00,1,,,池,JOY,黃某人,大家都很乖,Sin,,,,,,,
485,"168
237
356
458
589
oox",649370,,模擬,2024-03-15 00:00:00,2,,,HAO,Sin,黃某人,JOY,池,,,,,,,
486,"145
127
368
358 4+
135
oox",342957,,模擬,2024-03-16 00:00:00,1,,,TEN,HAO,布叮咚瓜茶,黑羊,池,,,,,,,
487,"168
289
369
458
580
ooo",913754,,模擬,2024-03-18 00:00:00,1,,258貝沙,黑羊,池,布叮咚瓜茶,洋蔥,Sin,,,,,,,
488,"126
237
368
690 4+
256
oox",832719,,模擬,2024-03-18 00:00:00,2,,"456Sin
560TEN
156Vash",轆,貝沙,黃某人,池,ED,,,,,,,
489,"127
279
357
129 4+
257
oox",954631,,模擬,2024-03-19 00:00:00,1,,,JOY,布叮咚瓜茶,髒髒泡泡,池,黃某人,,,,,,,
490,"160
267
134
348
150
oox
",709254,,模擬,2024-03-19 00:00:00,2,,158Sin,JOY,黑羊,布叮咚瓜茶,黃某人,池,,,,,,,
491,"139
269
138
456
358
oxx",136590,,模擬,2024-03-19 00:00:00,3,,,JOY,黃某人,布叮咚瓜茶,黑羊,ED,,,,,,,
492,"168
246
378
357 4+
158
oox
2560
3458 7+
4578
5690
3570
oooo
0>3 o",612938,,模擬,"2024/3/20
2024/4/17",1,,2680 0>4 o貝沙,HAO,ED,黃某人,池,婷,黑羊,池,HAO,JOY,軒,,
493,"156
125
370
148
145
ooo
",709614,,模擬,2024-03-20 00:00:00,1,,,HAO,池,黃某人,婷,ED,,,,,,,
494,"126
120
379
457
350
oox
",394280,,模擬,2024-03-20 00:00:00,2,,250 ooo池，2不出，以為0隊友,Sin,JOY,黃某人,午夜,HAO,,,,,,,
495,"178
236
137
458
157
oox
",107624,,模擬,2024-03-20 00:00:00,3,,,Sin,雪怪,布叮咚瓜茶,TEN,HAO,,,,,,,
496,"128
258
369
457 5-
258
oox
",924057,,模擬,2024-03-20 00:00:00,4,,"125 ooxDean
258 ooxED
568池
158Sin",Ray,呂安,布叮咚瓜茶,大家都很乖,HAO,,,,,,,
497,"137
258
370
140
158
oxx",428531,,模擬,2024-03-21 00:00:00,1,,145 oxxVash,HAO,JOY,布叮咚瓜茶,Sin,ED,,,,,,,
498,"148
290
369
145
156
oox","963024
",,模擬,2024-03-21 00:00:00,2,,"450 ooxVash
158ED",JOY,池,布叮咚瓜茶,Sin,午夜,,,,,,,
499,"238 1+
289
359
246
345
oox",904587,,模擬,2024-03-22 00:00:00,1,,,轆,JOY,黃某人,雪怪,布叮咚瓜茶,,,,,,,
500,"167
269
137
245
569
oox",219305,,模擬,2024-03-23 00:00:00,1,,,池,布叮咚瓜茶,黃某人,轆,黑羊,,,,,,,
501,"167
247
169 3+
589 4+
158
oox",761248,,模擬,2024-03-26 00:00:00,1,,,黑羊,TEN,HAO,池,Dean,,,,,,,
502,"238 1+
123
357
467
357
ooo",957184,,模擬,2024-03-27 00:00:00,1,,,HAO,Sin,ED,池,布叮咚瓜茶,,,,,,,
503,"178
239
370
149
158
oox
1367
4790
2689
1249
2360
oooo
0>3 o",179582,,模擬,"2024/4/1
2024/9/13",1,,,午夜,Sin,海月,池,黑羊,軒,TEN,午夜,池,HAO,,
504,"169
278
358
457
257
ooo",613478,,模擬,2024-04-08 00:00:00,1,,,HAO,池,黃某人,軒,Sin,,,,,,,
505,"147
250 1+
136
149
560
oox",146827,,模擬,2024-04-11 00:00:00,1,,"250Sin
257Vash
257布叮咚瓜茶",池,洋蔥,ED,黃某人,JOY,,,,,,,
506,"189
269
367
457
570
oxx",561728,,模擬,2024-04-12 00:00:00,1,,,Sin,池,黃某人,Dean,ED,,,,,,,
507,"167
260
370
245 2-
250
oox
2689 9-
1370
2468
3790
3790
ooox
0>3 o",640159,,模擬,2024-04-12 00:00:00,2,,,?,?,?,?,?,Sin,布叮咚瓜茶,黃某人,軒,貝沙,,
508,"167
249
348
450
359
oox",013795,,模擬,2024-04-15 00:00:00,1,,"358，5不出
359，5會出

358 oooED",Sin,午夜,HAO,布叮咚瓜茶,池,,,,,,,
509,"129
789 2+
135
347
256
oox
1678
4780
1689
6890
2470
ooox
0>4 x
1380 8-
1230
1357 7-
4678 7-9+
5789
ooox",934657,,模擬,2024-04-15 00:00:00,2,,[3-2]2家是代打的,Dean,ED,池,海月,JOY,Sin,軒,午夜,黃某人,Vash,,
510,"149
269
390
467
259
oox",952387,,模擬,2024-04-16 00:00:00,1,,"259 oox軒
456 oox布叮咚瓜茶",雪怪,ED,Ray,午夜,黃某人,,,,,,,
511,"137
290
470 3+
470 3+
259
oox
2360
3790
4780 0-
4890
1370
ooox
0>3 o
1348 34-
2370
3490
3490
3570
ooox",718269,,模擬,2024-04-16 00:00:00,2,,[2-5]僅刺客出任務失敗，娜娜精準判斷身分。,JOY,ED,HAO,Dean,海月,Sin,黃某人,黑羊,Vash,布叮咚瓜茶,,
512,"389 1+
269
238
478
158
oox",982146,,模擬,2024-04-17 00:00:00,1,,"[1-5]8家出的失敗
158Sin
158HAO
158Dean
458軒",池,黃某人,Vash,JOY,HAO,,,,,,,
513,"468 1+
249
356
147
560
ooo",398245,,模擬,2023-12-18 00:00:00,5,,,HAO,海月,黑羊,Sin,JOY,,,,,,,
514,"169
249
358
478
158
oox",938654,,模擬,2024-04-19 00:00:00,1,,568 oxx布叮咚瓜茶,HAO,黃某人,池,Sin,嚇到吃手手,,,,,,,
515,"480 1+
258 1+
379
456
250
oox",108942,,模擬,2024-04-19 00:00:00,2,,,HAO,布叮咚瓜茶,黃某人,軒,Sirius,,,,,,,
516,"179
470 2+
350
480
578
oox",308675,,模擬,2024-04-24 00:00:00,1,,,黑羊,池,Sin,Dean,JOY,,,,,,,
517,"236 1+
270
380
479
457
oox",457923,,模擬,2024-05-03 00:00:00,1,,,轆,Sin,池,Emma,軒,,,,,,,
518,"148
279
237
456
458
oox",268751,,模擬,2024-05-07 00:00:00,1,,,Sin,ED,Emma,JOY,黃某人,,,,,,,
519,"148
269
389
458
256
oox",492178,,模擬,2024-05-09 00:00:00,1,,"145 HAO
459 ED
458 Dean",池,黃某人,Sin,大家都很乖,小余,,,,,,,
