流水號,文字記錄,配置,刺殺,分類,日期時間,場次,check,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,最佳,
134,"169
268
130
160 4+
157
oxx",927158,,模擬,2023-08-16 00:00:00,1,,,Sin,Sirius,Lori,HAO,海月,,,,,,,
135,"135
247
379
457
258
ooo",428137,,模擬,2023-08-16 00:00:00,2,v,1-5不出,HAO,TEN,Sirius,軒,Lori,,,,,,,
136,"126
268
156 3+
478
356
oox",439260,,模擬,2023-08-16 00:00:00,3,,156ED,Sin,HAO,Dean,Sirius,池,,,,,,,
137,"137
259
379
489
459
oox",683501,,模擬,2023-08-16 00:00:00,4,,,Dean,軒,Sin,池,小背包,,,,,,,
138,"129
270
369
458
580
ooo",943615,,模擬,2023-08-17 00:00:00,1,v,,Sin,Sirius,TEN,Dean,海月,,,,,,,
139,"179
278
340
149
459
oox
3460
1379
2480
1390
2480
ooox
0>4 o",128956,,模擬,"2023/8/17
2024/5/9",1,v,"158 D
570 月

3470 Emma",HAO,信子,Sin,尼克,池,小余,池,Sin,黃某人,ED,,
140,"127
257
359
479
159
oox",347961,,模擬,2023-08-18 00:00:00,1,,,可可,Dean,Sirius,TEN,Sin,,,,,,,
141,"478 1+
456 2+
358
345
578
oox",620847,,模擬,2023-08-18 00:00:00,2,,,黑羊,池,軒,Alan,TEN,,,,,,,
142,"150
269
135
140
150
oox",230841,,模擬,2023-08-18 00:00:00,3,,,Alan,Sirius,池,TEN,小背包,,,,,,,
143,"149
235
356
348
359
ooo",280163,,模擬,2023-08-19 00:00:00,1,v,only海月,Sirius,池,Sin,黑羊,海月,,,,,,,
144,"169
237
350
127 4+
359
ooo",401728,,模擬,2023-08-20 00:00:00,1,v,onlyTEN,HAO,Mike,Alan,Sin,TEN,,,,,,,
145,"470 1+
245
245 3+
147
456
oox",806932,,模擬,2023-08-20 00:00:00,2,,245黑羊,海月,Sin,ED,Mike,TEN,,,,,,,
146,"138
236
380
567 4+
358
oox",813960,,模擬,2023-08-21 00:00:00,1,,,Dean,黑羊,Lori,ED,Mike,,,,,,,
147,"126
235
348
368 4+
235
oox
1680
1670
2568
4590
3460
ooxx
0>5 o",973682,,模擬,"2023/8/21
2024/4/10",1,,,Dean,Mike,黑羊,TEN,海月,Sin,軒,布叮咚瓜茶,HAO,海月,,
148,"369 1+
247
378
480
458 
oox",935728,,模擬,2023-08-21 00:00:00,2,,,黑羊,Mike,豬羊,TEN,海月,,,,,,,
149,"147
234
347
458
145
oox",713942,,模擬,2023-08-21 00:00:00,3,,,Dean,尼克,莊鈞翔,黑羊,海月,,,,,,,
150,"120
230
360
120 4+
350
oox",062798,,模擬,2023-08-21 00:00:00,4,,,Sin,池,Dean,HAO,TEN,,,,,,,
151,"145
259
356
458
256
ooo",039856,,模擬,2023-08-21 00:00:00,5,v,only,HAO,小背包,Dean,Sin,海月,,,,,,,
152,"159
279
368
345
145
ooo",209685,,模擬,2023-08-22 00:00:00,1,v,458皓,TEN,Lori,池,Dean,海月,,,,,,,
153,"135
234
356 1+
678 4+
156
oox",036178,,模擬,2023-08-22 00:00:00,2,,,HAO,Lori,TEN,池,黑羊,,,,,,,
154,"167
236
137
459
256
oox",267043,,模擬,2023-08-22 00:00:00,3,,,Sin,小背包,信子,池,Mike,,,,,,,
155,"468 1+
149 2+ 4-
378
458
458
oox",498162,,模擬,2023-08-22 00:00:00,4,,,Lori,Alan,池,Dean,Mike,,,,,,,
156,"169
249
345
689 4+
589
oox",874321,,模擬,2023-08-22 00:00:00,5,,159海月,池,黑羊,莊鈞翔,Lori,TEN,,,,,,,
157,"158
270
357
458
357
oox",938207,,模擬,2023-08-22 00:00:00,6,,,小背包,Mike,ED,TEN,海月,,,,,,,
158,"178
289
157 3+
160 4+
135
oox",769582,,模擬,2023-08-23 00:00:00,1,,,Sin,軒,黑羊,ED,海月,,,,,,,
159,"136
239
389
469
358
oox",473890,,模擬,2023-08-23 00:00:00,2,,125海月,Sin,軒,小背包,Lori,池,,,,,,,
160,"156
469 2+
379
245
257
oox",792046,,模擬,2023-08-23 00:00:00,3,,,Lori,ED,TEN,Sin,海月,,,,,,,
161,"190
279
235
167 4+
159
oox",728950,,模擬,2023-08-23 00:00:00,4,,,Lori,HAO,軒,池,海月,,,,,,,
162,"148
246
358
148
358
oox",364257,,模擬,2023-08-23 00:00:00,5,,,軒,黑羊,Sirius,TEN,Sin,,,,,,,
163,"125
269
367
345
235
oox
5690
1379
2689
3569
5690
oooo
0>5 o",123796,,模擬,"2023/8/24
2024/5/17",1,,"5790 ooox Vash
3450 ooox 0>4 o 呂安",黑羊,Dean,信子,池,海月,黃某人,ED,梅粉,Emma,小余,,
164,"123
258
368
470
145
oox",928437,,模擬,2023-08-24 00:00:00,1,,357海月,Alan,TEN,Sin,池,軒,,,,,,,
165,"169
239
259 3+
345
356
oxx",628379,,模擬,2023-08-24 00:00:00,2,,,Sin,黑羊,HAO,Dean,海月,,,,,,,
166,"147
125
345
479
125
oox",028354,,模擬,2023-08-25 00:00:00,1,,159海月,Sin,Lori,池,黑羊,Dean,,,,,,,
167,"580 1+
235
359
478
258
oox",768045,,模擬,2023-08-25 00:00:00,2,,,軒,HAO,TEN,Lori,海月,,,,,,,
168,"257 1+
157 2+
123
345
125
ooo",608792,,模擬,2023-08-25 00:00:00,3,v,only,海月,Dean,池,Alan,Sin,,,,,,,
169,"123
127
138
567 4+
345
oox",831479,,模擬,2023-08-26 00:00:00,1,,,Alan,軒,Dean,Sin,海月,,,,,,,
170,"148
269
380
256 4+
259
oox
1460
2780
2480
1790
3460
oooo
0>4 o",718903,,模擬,"2023/8/28
2024/3/27",1,,"456Sin
256海月",軒,TEN,小背包,池,米奇,黃某人,海月,ED,Ray,JOY,,
171,"148
247
378
147
159
oox",683542.0,,模擬,2023-08-29 00:00:00,1,,,可可,JOY,TEN,Dean,海月,,,,,,,
172,"189
257
345
456
450
ooo",912874,,模擬,2023-08-29 00:00:00,2,v,only,黑羊,大星,Dean,Sirius,TEN,,,,,,,
