玩家\對手,SIN,HAO,尼克,軒,海月,池,黑羊,洋蔥,DEAN,JOY,LIANG,轆,KEVIN,豬豬,雪怪,發達,黃某人,菜,LORI,大星,ED,午夜,VASH,TEN,豬羊,很乖,呂安,RAY
LIANG,-0.2080536912751678,-0.1095890410958904,-0.04477611940298507,0.02040816326530612,-0.1111111111111111,0.056179775280898875,0.02857142857142857,-0.11711711711711711,0.1111111111111111,-0.2857142857142857,,-0.16853932584269662,-0.11363636363636363,0.06451612903225806,-0.2682926829268293,-0.04,-0.05714285714285714,0.391304347826087,0.03225806451612903,0.08196721311475409,0.47368421052631576,0.18518518518518517,,0.15384615384615385,-0.29411764705882354,-0.15789473684210525,-0.1076923076923077,
轆,0.18120805369127516,-0.09722222222222222,0.006993006993006993,0.0,0.5,0.06329113924050633,0.05660377358490566,-0.0196078431372549,-0.07692307692307693,0.1111111111111111,0.16853932584269662,,-0.030927835051546393,0.20388349514563106,0.05263157894736842,0.4666666666666667,0.1794871794871795,0.09734513274336283,0.0,0.10344827586206896,0.058823529411764705,0.23809523809523808,,0.21052631578947367,-0.37142857142857144,0.0,-0.29411764705882354,
KEVIN,-0.005847953216374269,-0.10526315789473684,-0.06666666666666667,0.04878048780487805,,-0.06493506493506493,-0.15555555555555556,-0.0891089108910891,-0.09090909090909091,-0.42857142857142855,0.11363636363636363,0.030927835051546393,,0.19642857142857142,-0.5,-0.06896551724137931,-0.2,0.08823529411764706,,0.1282051282051282,-0.1111111111111111,0.1111111111111111,1.0,0.14285714285714285,-0.20930232558139536,-0.3333333333333333,-0.0967741935483871,1.0
豬豬,-0.11904761904761904,-0.16981132075471697,-0.10679611650485436,-0.08843537414965986,,-0.2,0.0,-0.21839080459770116,-0.09090909090909091,-0.2727272727272727,-0.06451612903225806,-0.20388349514563106,-0.19642857142857142,,-0.2,-0.23529411764705882,0.0,-0.09278350515463918,1.0,0.0,-0.3333333333333333,0.18181818181818182,0.3333333333333333,0.1891891891891892,-0.3333333333333333,-0.14285714285714285,,-1.0
雪怪,-0.075,-0.0891089108910891,0.11764705882352941,0.1746031746031746,-0.045454545454545456,-0.21518987341772153,-0.047619047619047616,0.058823529411764705,-0.17391304347826086,-0.102803738317757,0.2682926829268293,-0.05263157894736842,0.5,0.2,,-0.037037037037037035,0.1111111111111111,0.14285714285714285,-0.047619047619047616,0.30434782608695654,-0.22857142857142856,0.35714285714285715,0.07317073170731707,-0.08333333333333333,-0.38461538461538464,0.02564102564102564,1.0,0.05263157894736842
發達,-0.078125,-0.030927835051546393,-0.030927835051546393,0.04697986577181208,0.09090909090909091,-0.11688311688311688,0.0136986301369863,-0.13402061855670103,0.0,-0.2222222222222222,0.04,-0.4666666666666667,0.06896551724137931,0.23529411764705882,0.037037037037037035,,0.1232876712328767,0.25,0.0,0.2413793103448276,0.2,0.0,,0.0,-0.12195121951219512,-0.015873015873015872,-0.041666666666666664,
黃某人,-0.10869565217391304,-0.1717171717171717,0.021739130434782608,-0.02127659574468085,0.14285714285714285,-0.10638297872340426,0.020833333333333332,-0.23232323232323232,-0.1,0.2,0.05714285714285714,-0.1794871794871795,0.2,0.0,-0.1111111111111111,-0.1232876712328767,,-0.15789473684210525,-0.21428571428571427,0.06896551724137931,0.3333333333333333,0.09375,,0.0,-0.15555555555555556,0.1,0.23636363636363636,
菜,0.17355371900826447,-0.3103448275862069,0.05660377358490566,0.05154639175257732,1.0,-0.09333333333333334,0.17647058823529413,-0.125,-0.06666666666666667,0.18518518518518517,-0.391304347826087,-0.09734513274336283,-0.08823529411764706,0.09278350515463918,-0.14285714285714285,-0.25,0.15789473684210525,,0.3333333333333333,-0.1111111111111111,-0.4,0.2,,0.13043478260869565,-0.3333333333333333,0.4,,
LORI,0.0,0.018518518518518517,0.0,0.07142857142857142,0.13432835820895522,0.07142857142857142,0.14285714285714285,0.08695652173913043,0.043478260869565216,0.06329113924050633,-0.03225806451612903,0.0,,-1.0,0.047619047619047616,0.0,0.21428571428571427,-0.3333333333333333,,0.14285714285714285,-0.047619047619047616,0.23529411764705882,0.1267605633802817,0.4,0.1111111111111111,-0.0196078431372549,,0.21052631578947367
大星,-0.25925925925925924,-0.18309859154929578,-0.031578947368421054,-0.0967741935483871,-0.29411764705882354,-0.04477611940298507,-0.2727272727272727,0.058823529411764705,-0.3793103448275862,0.0,-0.08196721311475409,-0.10344827586206896,-0.1282051282051282,0.0,-0.30434782608695654,-0.2413793103448276,-0.06896551724137931,0.1111111111111111,-0.14285714285714285,,-0.42857142857142855,0.0,-0.2,-0.42857142857142855,-0.391304347826087,-0.30612244897959184,-0.22727272727272727,0.0
ED,0.1320754716981132,-0.1951219512195122,0.23529411764705882,0.3333333333333333,0.0967741935483871,-0.0958904109589041,0.07142857142857142,0.23076923076923078,0.06666666666666667,0.1,-0.47368421052631576,-0.058823529411764705,0.1111111111111111,0.3333333333333333,0.22857142857142856,-0.2,-0.3333333333333333,0.4,0.047619047619047616,0.42857142857142855,,0.2,-0.0684931506849315,0.0,-0.45454545454545453,0.7142857142857143,0.3333333333333333,0.15
午夜,-0.2835820895522388,-0.25806451612903225,-0.07936507936507936,-0.1485148514851485,0.5,-0.061224489795918366,-0.058823529411764705,-0.2564102564102564,0.0,-1.0,-0.18518518518518517,-0.23809523809523808,-0.1111111111111111,-0.18181818181818182,-0.35714285714285715,0.0,-0.09375,-0.2,-0.23529411764705882,0.0,-0.2,,1.0,-0.25,-0.07692307692307693,-0.14285714285714285,-0.05263157894736842,
VASH,-0.1724137931034483,-0.14285714285714285,-0.21428571428571427,1.0,0.07142857142857142,0.2682926829268293,0.0,-1.0,0.009708737864077669,0.10810810810810811,,,-1.0,-0.3333333333333333,-0.07317073170731707,,,,-0.1267605633802817,0.2,0.0684931506849315,-1.0,,1.0,1.0,,,0.045454545454545456
TEN,-0.19047619047619047,-0.2,-0.22388059701492538,-0.12903225806451613,-0.08333333333333333,-0.0958904109589041,-0.3225806451612903,-0.24,-0.16129032258064516,-0.1111111111111111,-0.15384615384615385,-0.21052631578947367,-0.14285714285714285,-0.1891891891891892,0.08333333333333333,0.0,0.0,-0.13043478260869565,-0.4,0.42857142857142855,0.0,0.25,-1.0,,-0.5483870967741935,0.2857142857142857,-0.03225806451612903,
豬羊,0.14285714285714285,0.12643678160919541,0.18072289156626506,0.0625,0.0,0.23076923076923078,0.1320754716981132,0.16666666666666666,0.3333333333333333,0.0,0.29411764705882354,0.37142857142857144,0.20930232558139536,0.3333333333333333,0.38461538461538464,0.12195121951219512,0.15555555555555556,0.3333333333333333,-0.1111111111111111,0.391304347826087,0.45454545454545453,0.07692307692307693,-1.0,0.5483870967741935,,0.1111111111111111,-0.09090909090909091,
很乖,0.05128205128205128,-0.07936507936507936,0.09302325581395349,0.1111111111111111,0.0,-0.022222222222222223,-0.20930232558139536,-0.015873015873015872,0.14285714285714285,-0.5,0.15789473684210525,0.0,0.3333333333333333,0.14285714285714285,-0.02564102564102564,0.015873015873015872,-0.1,-0.4,0.0196078431372549,0.30612244897959184,-0.7142857142857143,0.14285714285714285,,-0.2857142857142857,-0.1111111111111111,,0.07692307692307693,
呂安,-0.05555555555555555,-0.07894736842105263,0.024390243902439025,0.08235294117647059,0.42857142857142855,-0.04,0.03225806451612903,-0.17647058823529413,0.09090909090909091,-0.2,0.1076923076923077,0.29411764705882354,0.0967741935483871,,-1.0,0.041666666666666664,-0.23636363636363636,,,0.22727272727272727,-0.3333333333333333,0.05263157894736842,,0.03225806451612903,0.09090909090909091,-0.07692307692307693,,1.0
RAY,-0.5294117647058824,-0.14285714285714285,-0.2857142857142857,0.0,0.11475409836065574,0.15789473684210525,-1.0,-1.0,-0.13846153846153847,0.07142857142857142,,,-1.0,1.0,-0.05263157894736842,,,,-0.21052631578947367,0.0,-0.15,,-0.045454545454545456,,,,-1.0,
