流水號,文字記錄,配置,刺殺,分類,日期時間,場次,頁碼,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,結果,第一局成功失敗,第二局成功失敗,第三局成功失敗,第四局成功失敗,第五局成功失敗,第一局,第二局,第三局,第四局,第五局,組成,強人,戳人,局勢,首湖,二湖,三湖,首湖玩家,二湖玩家,三湖玩家,角1,角4,角5,角0,2025-01-01 00:00:00,派5,派0,外灑
1901,"168
238
390
458
158
oox
5670
5790
2580
2890
5670
ooox
0>5 x
1239
1289 1-
1369 70+
ooxx",735914,,線瓦,2025-07-27 00:00:00,2,,,小向,發達,Sin,豬豬,尼克,菜,kevin,開司,HAO,軒,三紅,oox,ooox,ooxx,,,紅,紅,紅,,,"小向, 發達, SIN, 豬豬, 尼克, 菜, KEVIN, 開司, HAO, 軒",1,4,紅紅紅,0>5,,,忠,德,,派,梅,德,忠,168,N,N,N
1902,"147
278
367
149
568
ooo
2568 3+
1479 2+
5680
5689 124+
ooox
0>5 o
5680
1567 5-
2458 8-
3568 0+
4580
ooox
5>8 o
35680
25680
35890 350-2+
35670 8+
ooooo
8>7 o
35780 0-29+
ooooo",491205,5.0,線瓦,2025-07-27 00:00:00,3,,,軒,菜,kevin,Sin,黑羊,小向,尼克,豬豬,HAO,發達,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,"軒, 菜, KEVIN, SIN, 黑羊, 小向, 尼克, 豬豬, HAO, 發達",1,3,藍紅紅藍藍,0>5,5>8,8>7,派,梅,忠,德,刺,梅,派,147,N,N,N
1903,"167
279
368
670 49+
258
oox
2690
2470
2489
1690
4690
ooox
0>4 o
1456 56-8+
2479 8+
3490 9-8+
1467 2890+
ooox",824071,,線瓦,2025-07-27 00:00:00,4,,,豬豬,HAO,黑羊,kevin,發達,Sin,軒,小向,菜,尼克,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"豬豬, HAO, 黑羊, KEVIN, 發達, SIN, 軒, 小向, 菜, 尼克",1,3,紅紅紅,0>4,,,奧,德,,梅,德,忠,奧,167,N,N,N
1904,"189
139 2+
367
468
356
oox
4689
1479
2478
2790
4790
oooo
0>4 o
4790 1256+
oooo
4>9 o
24790 1568+
ooooo",631807,7.0,線瓦,2025-07-27 00:00:00,5,,,尼克,黑羊,kevin,軒,發達,小向,菜,豬豬,HAO,Sin,三藍死,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,"尼克, 黑羊, KEVIN, 軒, 發達, 小向, 菜, 豬豬, HAO, SIN",1,3,紅藍藍藍,0>4,4>9,,派,忠,忠,德,忠,忠,派,189,N,N,N
1905,"148
270 8+
360
247 8+
250
oox
2467
4679
2678
4790
6790
ooox
0>4 o
1348 348-
2468
3469 4-
2468 70+
oooo
4>7 o
24678 13590+
ooooo
24678 139+
ooooo",135974,2.0,線瓦,2025-07-27 00:00:00,6,,,小向,尼克,菜,kevin,發達,Sin,轆,HAO,軒,豬豬,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,"小向, 尼克, 菜, KEVIN, 發達, SIN, 轆, HAO, 軒, 豬豬",2,3,紅紅藍藍藍,0>4,4>7,,忠,梅,派,刺,梅,德,忠,148,N,N,N
1906,"149
289
347
124
125
ooo
1256
1257
2890
1259
1250
ooox
0>2 o
1269
1269
1347
1245
1245
oooo
2>5 o
12456 37890+
ooooo",803964,5.0,面瓦,2025-07-26 00:00:00,1,,,,,,,,,,,,,三藍活,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,", , , , , , , , , ",0,0,藍紅藍藍,0>2,2>5,,娜,忠,忠,忠,梅,忠,娜,149,N,N,N
1907,"156
345 2+
370
240
357
oox
3690
2790
2480
3690
3690 7-
ooox
0>3 x
1269 6-
2456 6-
1689 3+169-
4780 13+70-
2567
ooxx",372861,,線瓦,2025-07-29 00:00:00,1,,,fancy,菜,ED,亞可,黑羊,洋蔥,HAO,轆,yl,尼克,三紅,oox,ooox,ooxx,,,紅,紅,紅,,,"FANCY, 菜, ED, 亞可, 黑羊, 洋蔥, HAO, 轆, YL, 尼克",5,0,紅紅紅,0>3,,,忠,刺,,梅,忠,忠,忠,156,Y,N,N
1908,"239 1+
289 1+
369
346
560
ooo
5680
5670 9+
5680 9+
5690 56-
5680
ooox
0>5 o
1238 8-
2890 90-
3567
4560
3456
oooo
5>1 o
13456 2790+
ooooo",792854,4.0,線瓦,2025-07-29 00:00:00,2,,,尼克,亞可,轆,fancy,菜,黑羊,HAO,yl,ED,洋蔥,三藍死,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,"尼克, 亞可, 轆, FANCY, 菜, 黑羊, HAO, YL, ED, 洋蔥",5,0,藍紅藍藍,0>5,5>1,,忠,派,忠,忠,梅,派,忠,239,N,N,Y
1909,"157
267
345
246
345
ooo
3459 6+
2470 0-
2468 7+ 4-
3459 6+
3450
oooo
0>5 o
3450 
oooo",782613,3.0,線瓦,2025-07-29 00:00:00,3,,,菜,ED,轆,fancy,Sin,HAO,黑羊,亞可,尼克,yl,三藍死,ooo,oooo,oooo,,,藍,藍,藍,,,"菜, ED, 轆, FANCY, SIN, HAO, 黑羊, 亞可, 尼克, YL",4,0,藍藍藍,0>5,,,忠,忠,,派,忠,忠,忠,157,Y,N,N
1910,"145
560 2+
368
456 2+
456
ooo
1456 9+
1670 1-
4568
1456 9+
4560
ooox
0>5 x
1468
1246
3469 0+
1456 8+
1456
ooox
5>9 x
13568 38-
23456 7+6-
12578 1-
13490 78+4-
oxxxx",901368,,線瓦,2025-07-29 00:00:00,4,,,yl,HAO,菜,亞可,Sin,尼克,黑羊,豬豬,轆,fancy,三紅,ooo,ooox,ooox,oxxxx,,藍,紅,紅,紅,,"YL, HAO, 菜, 亞可, SIN, 尼克, 黑羊, 豬豬, 轆, FANCY",3,1,藍紅紅紅,0>5,5>9,,娜,忠,刺,德,忠,忠,娜,145,Y,N,N
