流水號,文字記錄,配置,刺殺,分類,日期時間,場次,頁碼,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,結果,第一局成功失敗,第二局成功失敗,第三局成功失敗,第四局成功失敗,第五局成功失敗,第一局,第二局,第三局,第四局,第五局,組成,強人,戳人,局勢,首湖,二湖,三湖,首湖玩家,二湖玩家,三湖玩家,角1,角4,角5,角0,2025-01-01 00:00:00,派5,派0,外灑
246,"469 1+
278
348
489
578
ooo
5678
4578
4578
3789
4790
ooox
0>5 o
1450 5-
2578
3578
3458
2578
ooox
5>7 o
25678 278-
15679 2+
ooooo
7>2 o
15679 15679- 8+
25790 25790- 6+
12579 12579-
12579 5- 4+
ooooo",834670,0.0,面瓦,2022-07-15 00:00:00,5,,九號,,,,,,,,,,,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , , , , , , , ",0,0,藍紅紅藍藍,0>5,5>7,7>2,梅,忠,派,忠,德,忠,梅,469,N,N,Y
247,"127
124
347
470
567
ooo
5670
3567
5678
5679
5670
ooox
0>5 o
1257
1257
1367
2457
1257
ooox
5>7 o
56789 5-
35789 1+
ooooo
7>1 o
13789 17- 25+
13789 1- 25+
ooooo",065479,1.0,面瓦,2022-07-15 00:00:00,6,,九號,,,,,,,,,,,三藍活,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , , , , , , , ",0,0,藍紅紅藍藍,0>5,5>7,7>1,刺,德,派,忠,奧,德,刺,127,N,N,N
248,"147
237
348
479
157
oox
3468
2670
7890
2379
2350
ooox
0>3 o
1249
2379
2367
ooox",013679,,面瓦,2022-07-15 00:00:00,7,,九號,,,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , , ",0,0,紅紅紅,0>3,,,刺,德,,娜,忠,忠,刺,147,N,N,N
249,"168
240
389
246
259
ooo
1680
2589 7+
2589 7+
2579
2480
ooox
0>2 x
1256
2590
2359
2459
2590
ooox
2>9 x
24568 2-
12578 1-
12568 1- 4+
34567 457- 9+
12570
ooooo
9>3 x
12560
ooooo",378941,1.0,面瓦,2022-07-17 00:00:00,1,1-233,古亭,Eric,ED,池,Dean,Vash,痴痴,快樂,UD,海月,心地,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,"ERIC, ED, 池, DEAN, VASH, 痴痴, 快樂, UD, 海月, 心地",4,1,藍紅紅藍藍,0>2,2>9,9>3,忠,忠,奧,梅,派,忠,忠,168,N,N,N
250,"169
247
345
470
359
oox
6790
4790
4890
4780 9+
4790
ooxx
0>3 o
1358 5-
1235 5-
1350 15-
1348 1-
1358
oooo
3>4 o
13568
ooooo
4>7 x
13568
ooooo",269758,3.0,面瓦,2022-07-17 00:00:00,2,,古亭,Dean,Vash,痴痴,快樂,UD,海月,心地,Eric,ED,池,三藍活,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,"DEAN, VASH, 痴痴, 快樂, UD, 海月, 心地, ERIC, ED, 池",4,1,紅紅藍藍藍,0>3,3>4,4>7,忠,忠,忠,忠,忠,派,忠,169,N,N,N
251,"147
230
359 4+
459 3+
357
ooo
6789
1357
1258
3579
3570
oooo
0>5 o
3570
oooo",689324,7.0,面瓦,2022-07-17 00:00:00,3,,古亭,UD,海月,心地,Eric,ED,池,Dean,Vash,痴痴,快樂,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,"UD, 海月, 心地, ERIC, ED, 池, DEAN, VASH, 痴痴, 快樂",4,1,藍藍藍,0>5,,,忠,忠,,忠,梅,忠,忠,147,N,N,N
252,"246 1+
279
345
460
259
oox
2680
1670
1890
3490
1460
oooo
0>6 x
1490 6+
2340 6+
3450
2350 3-
3450
ooxx
6>7 x
12789 1789- 46+
17890 10- 45+
13780 130- 2+
12890 46+
ooooo
7>3 o
12390 6+
ooooo
",756498,8.0,面瓦,2022-07-17 00:00:00,4,,古亭,海月,心地,Eric,ED,池,Dean,Vash,痴痴,快樂,UD,三藍死,oox,oooo,ooxx,ooooo,ooooo,紅,藍,紅,藍,藍,"海月, 心地, ERIC, ED, 池, DEAN, VASH, 痴痴, 快樂, UD",4,1,紅藍紅藍藍,0>6,6>7,7>3,忠,德,刺,忠,奧,娜,忠,246,N,N,Y
253,"147
259
370
456
560
ooo
2450 6+
1340 7+
2689
3560 9+
5680
ooox
0>8 o
1456
2348
2389 9-
2458 58- 6+
1456 
oooo
8>4 o
12458 58- 6+
14567
34890
24890 6+
oooxx
4>5 x
14780 18-
13468
12367 1367-
13468 5+
ooooo",259718,8.0,面瓦,2022-07-17 00:00:00,5,,古亭,快樂,UD,海月,心地,Eric,ED,池,Dean,Vash,痴痴,三藍死,ooo,ooox,oooo,oooxx,ooooo,藍,紅,藍,紅,藍,"快樂, UD, 海月, 心地, ERIC, ED, 池, DEAN, VASH, 痴痴",4,1,藍紅藍紅藍,0>8,8>4,4>5,忠,梅,忠,派,忠,娜,忠,147,N,N,N
254,"135
258 7+
389
456
456
ooo
4568
2456 79+
oooo
0>2 o
2456
ooox
2>6 o
12689 40+
oooxx
6>8 o
26780 678-
14678 4678-
23467
34568
45678
ooooo",132049,4.0,面瓦,2022-07-17 00:00:00,6,,古亭,快樂,UD,海月,心地,Eric,ED,池,Dean,Vash,痴痴,三藍活,ooo,oooo,ooox,oooxx,ooooo,藍,藍,紅,紅,藍,"快樂, UD, 海月, 心地, ERIC, ED, 池, DEAN, VASH, 痴痴",4,1,藍藍紅紅藍,0>2,2>6,6>8,奧,德,忠,刺,派,忠,奧,135,Y,N,N
255,"169
236
458 3+
450
135
ooo
1358 6+
1350 78+
ooox
0>5 o
1358
1259
2450
1450
2459
ooox
5>6 x
34578 57-
34578 7- 69+
oooxx",682357,,面瓦,2022-07-17 00:00:00,7,,古亭,心地,Eric,ED,池,Dean,Vash,痴痴,快樂,UD,海月,三紅,ooo,ooox,ooox,oooxx,,藍,紅,紅,紅,,"心地, ERIC, ED, 池, DEAN, VASH, 痴痴, 快樂, UD, 海月",4,1,藍紅紅紅,0>5,5>6,,忠,派,刺,忠,忠,派,忠,169,N,N,N
256,"167 3+
289 3+
239
679 134+
oox
1589 8-
2368 2-
2479
2780
2790
ooox
0>3 x
6780
1568
2468 68-
3479 79-
4789
oooo
3>4 x
45789
ooooo
4>2 o
45789
ooooo",650143,3.0,面瓦,2022-07-17 00:00:00,8,,古亭,Dean,Vash,痴痴,快樂,UD,海月,心地,Eric,ED,池,三藍死,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,"DEAN, VASH, 痴痴, 快樂, UD, 海月, 心地, ERIC, ED, 池",4,1,紅紅藍藍藍,0>3,3>4,4>2,德,梅,派,奧,派,娜,德,167,N,N,N
257,"158
237
356
490
458
oox
1368
7890
1890
2469
2680
oooo
0>8 o
2680
ooox
8>6 o
23456 36-
13680 45+
oooxx",470189,,面瓦,2022-07-17 00:00:00,9,,古亭,快樂,UD,海月,心地,Eric,ED,池,Dean,Vash,痴痴,三紅,oox,oooo,ooox,oooxx,,紅,藍,紅,紅,,"快樂, UD, 海月, 心地, ERIC, ED, 池, DEAN, VASH, 痴痴",4,1,紅藍紅紅,0>8,8>6,,德,派,忠,奧,刺,忠,德,158,Y,N,N
258,"148
256 3+
267 3+
160 47+
568
oox
1679
1367
1458
1239 7+
3790 
ooox
0>9 o
1459 9-
2489 89-
3478 8-
4789 23+
oooo
9>3 x
45789
ooooo
46789
24789
oooox",602398,,面瓦,2022-07-17 00:00:00,10,,古亭,Dean,Vash,痴痴,快樂,UD,海月,心地,Eric,ED,池,三紅,oox,ooox,oooo,ooooo,oooox,紅,紅,藍,藍,紅,"DEAN, VASH, 痴痴, 快樂, UD, 海月, 心地, ERIC, ED, 池",4,1,紅紅藍藍紅,0>9,9>3,,娜,派,奧,忠,忠,忠,娜,148,N,N,N
259,"237 18+
250
360
458
345
oox
2369 3-
1270
1789
1579
1790
oooo
0>9 x
1270 9+
1230 9+
1380 9+
1460 9+
1350
ooox
9>6 o
13460 1-
12780 180-
13780 10-
12340 12-
12780
ooooo
6>2 x
12780 9+
oooox",461932,,面瓦,2022-07-17 00:00:00,11,,古亭,ED,池,Dean,Vash,痴痴,快樂,UD,海月,心地,Eric,三紅,oox,oooo,ooox,ooooo,oooox,紅,藍,紅,藍,紅,"ED, 池, DEAN, VASH, 痴痴, 快樂, UD, 海月, 心地, ERIC",4,1,紅藍紅藍紅,0>9,9>6,6>2,忠,奧,娜,德,刺,忠,忠,237,N,N,Y
260,"267 1+
178 2+
134
470
579
oox
1689
1278
3480
1890
1780
ooox
0>5 o
1258 58-
1258 58-
3580 58-
4580
4580
ooox",710289,,面瓦,2022-07-17 00:00:00,12,,古亭,Dean,Vash,痴痴,快樂,UD,海月,心地,Eric,ED,池,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"DEAN, VASH, 痴痴, 快樂, UD, 海月, 心地, ERIC, ED, 池",4,1,紅紅紅,0>5,,,德,忠,,娜,忠,忠,德,267,N,N,Y
261,"178 
456 2+
360
456 2+
150
ooo
1350 1- 67+
1350 1- 267+
ooox
0>3 x
1580
1569 1- 2+
7890 8- 24+
1458 8- 20+
1248 
ooox
3>7 o
23789 289-
14570 150-
15780 249+
ooooo
7>4 o
15680 1-
14780
15680 10- 49+
15680 349+
ooooo",732468,9.0,面瓦,2022-07-17 00:00:00,13,,古亭,Eric,ED,池,Dean,Vash,痴痴,快樂,UD,海月,心地,三藍活,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,"ERIC, ED, 池, DEAN, VASH, 痴痴, 快樂, UD, 海月, 心地",4,1,藍紅紅藍藍,0>3,3>7,7>4,忠,娜,刺,忠,奧,忠,忠,178,N,N,N
262,"678 1+
234
369
457
356
ooo
3568
4560 56- 27+
3568
3569
3560
ooox
0>5 o
1356
3568 6- 2+
3568 2+
3458 2+
1356
ooox
5>9 x
15678
15670 2+
ooooo
9>2 x
14567 567- 89+
14567 567- 89+
15670
14567 89+
ooooo",203951,1.0,面瓦,2022-07-17 00:00:00,14,,古亭,痴痴,快樂,UD,海月,心地,Eric,ED,池,Dean,Vash,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,"痴痴, 快樂, UD, 海月, 心地, ERIC, ED, 池, DEAN, VASH",4,1,藍紅紅藍藍,0>5,5>9,9>2,娜,派,奧,梅,忠,派,娜,678,N,N,Y
263,"158
278
345
479
148
oxx
5679
5670
2578
5690
3570
oooo
0>5 o
3570
oooo
5>7 o
23570
oooox",942138,7.0,面瓦,2022-07-17 00:00:00,15,,古亭,心地,Eric,ED,池,Dean,Vash,痴痴,快樂,UD,海月,三藍活,oxx,oooo,oooo,oooox,,紅,藍,藍,藍,,"心地, ERIC, ED, 池, DEAN, VASH, 痴痴, 快樂, UD, 海月",4,1,紅藍藍藍,0>5,5>7,,忠,忠,忠,奧,娜,忠,忠,158,Y,N,N
264,"389 16+
589 126+
oox
3690
2478
3457
2368
2478
ooox
0>9 o
4890 90-
3490
4890
1490 78+
oooo
9>8 o
14890
ooooo
8>7 o
14890
ooooo",352604,0.0,面瓦,2022-07-17 00:00:00,16,,古亭,ED,池,Dean,Vash,痴痴,快樂,UD,海月,心地,Eric,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,"ED, 池, DEAN, VASH, 痴痴, 快樂, UD, 海月, 心地, ERIC",4,1,紅紅藍藍藍,0>9,9>8,8>7,派,忠,忠,忠,梅,娜,派,389,N,N,Y
265,"126
789 26+
345
490
389
oox
6790
6790
2680
1679
1690
oooo
0>6 o
1690
oooo
6>1 o
12690
ooooo",743592,0.0,面瓦,2022-07-17 00:00:00,17,1-241,古亭,Eric,ED,池,Dean,Vash,痴痴,快樂,UD,海月,心地,三藍活,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,"ERIC, ED, 池, DEAN, VASH, 痴痴, 快樂, UD, 海月, 心地",4,1,紅藍藍藍,0>6,6>1,,忠,忠,忠,忠,娜,奧,忠,126,N,N,N
266,"378 1+
269 7+
345
347
135
ooo
3670
6790
1345 8+
2349
5670
ooox
0>5 o
1578
1235
2345
2345
2345
ooxx
5>8 x
15679 5- 20+
ooooo
8>9 o
15790 10- 2+
15790 10-
15790 10-
15790 23+
oooox",387210,,面瓦,2022-07-17 00:00:00,18,,古亭,海月,心地,Eric,ED,池,Dean,Vash,痴痴,快樂,UD,三紅,ooo,ooox,ooxx,ooooo,oooox,藍,紅,紅,藍,紅,"海月, 心地, ERIC, ED, 池, DEAN, VASH, 痴痴, 快樂, UD",4,1,藍紅紅藍紅,0>5,5>8,8>9,梅,忠,娜,派,忠,忠,梅,378,N,N,Y
267,"468 1+
237
349
690 24+
150
oox
4690
2347
1489
2490
2490
oooo
0>4 o
2490
oooo
4>2 o
23490
oooox",536109,0.0,面瓦,2022-07-17 00:00:00,19,,古亭,海月,心地,Eric,ED,池,Dean,Vash,痴痴,快樂,UD,三藍活,oox,oooo,oooo,oooox,,紅,藍,藍,藍,,"海月, 心地, ERIC, ED, 池, DEAN, VASH, 痴痴, 快樂, UD",4,1,紅藍藍藍,0>4,4>2,,派,忠,忠,奧,忠,刺,派,468,N,N,Y
268,"190
278
349 6+
346
579
ooo
4579
2579
5789
4579
5790
oooo
0>9 o
5790
oooo",284615,1.0,面瓦,2022-07-22 00:00:00,1,,九號,,,,海月,,,,,,,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,", , , 海月, , , , , , ",0,1,藍藍藍,0>9,,,忠,忠,,派,德,梅,忠,190,N,Y,N
269,"123 3-
678 2+
390
467 1+
579
ooo
4579 7- 6+
5679 3+
5689
5679 8+
5790
oooo
0>5 o
5790
oooo",861405,5.0,面瓦,2022-07-22 00:00:00,2,,九號,,,海月,,,,,,,,三藍死,ooo,oooo,oooo,,,藍,藍,藍,,,", , 海月, , , , , , , ",0,1,藍藍藍,0>5,,,派,梅,,德,奧,梅,派,123,N,N,N
270,"145
290
678 3+
489
579
oox
3678
4780
3478
2490
4890
oooo
0>4 o
4890
ooox
4>3 x
24569 46-
13678
12459 19-
12459 1- 6+
12569
oooxx
",731829,,面瓦,2022-07-22 00:00:00,3,,九號,,,,海月,,,,,,,三紅,oox,oooo,ooox,oooxx,,紅,藍,紅,紅,,", , , 海月, , , , , , ",0,1,紅藍紅紅,0>4,4>3,,忠,忠,娜,德,忠,忠,忠,145,Y,N,N
271,"368 15+
240 56+
378 56+
245 2-
357
oox
6780
6780
1780
4690
1780
ooox
0>4 o
1450 45-
4670 47- 2+
3478 47-
4670
ooox",537126,,面瓦,2022-07-22 00:00:00,4,,九號,海月,,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"海月, , , , , , , , , ",0,1,紅紅紅,0>4,,,忠,忠,,奧,忠,刺,忠,368,N,N,Y
272,"158
270
347 8+
478
159
ooo
1689 9- 5+
4789
1589
1590
1590
ooxx
0>4 x
1368
2370 37-
3478
3478 1+
2458
oooo
4>8 o
24568 8- 90+
oooxx
8>9 o
24789 249- 5+
23489
34789
oooox",765038,,面瓦,2022-07-22 00:00:00,5,,九號,,海月,,,,,,,,,三紅,ooo,ooxx,oooo,oooxx,oooox,藍,紅,藍,紅,紅,", 海月, , , , , , , , ",0,1,藍紅藍紅紅,0>4,4>8,8>9,奧,忠,梅,忠,忠,德,奧,158,Y,N,N
273,"178
259
130
347
256
ooo
2568
2567
2569
2560
oooo
0>6 o
2560
ooox
6>2 o
25689
23689 2-
26789 9- 4+
25689
25689
ooooo",437092,5.0,面瓦,2022-07-22 00:00:00,6,,九號,,,,,,,,,,海月,三藍活,ooo,oooo,ooox,ooooo,,藍,藍,紅,藍,,", , , , , , , , , 海月",0,1,藍藍紅藍,0>6,6>2,,奧,忠,梅,忠,刺,忠,奧,178,N,N,N
274,"167
234
345 2+
459 2+
567
ooo
1567 2+
5679 2+
1689 2+
5679 2+
4590
ooxx
0>3 o
1567 7-
1238 18-
2367 0+
1467 1-
3567
oooo
3>5 o
35678 124+
oooxx
5>6 x
12357 1-
12358 1-
13579 1-
23570
12357
oooxx",305926,,面瓦,2022-09-11 00:00:00,1,1-253,,,,,,,海月,,,,,三紅,ooo,ooxx,oooo,oooxx,oooxx,藍,紅,藍,紅,紅,", , , , , 海月, , , , ",0,1,藍紅藍紅紅,0>3,3>5,5>6,娜,刺,德,忠,忠,德,娜,167,N,N,N
275,"123
269
350
247
259
oox
4670
2678
3680 7+
3890
1580
ooox
0>3 o
1360 0-
2380 0-
1360 457+
oooo
3>4 o
13460
ooooo
4>6 o
13460
ooooo",895216,6.0,面瓦,2022-09-11 00:00:00,2,,,,,,,海月,,,,,,三藍死,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , 海月, , , , , ",0,1,紅紅藍藍藍,0>3,3>4,4>6,忠,忠,忠,派,忠,德,忠,123,N,N,N
276,"367 1+
123
136
456
158
oox
1367
1467
3678 6-
1239 2-
1230
ooox
0>4 o
1346 4-
1236 1-
1379 19- 6+
4679 1+
4570
ooox",820164,,面瓦,2022-09-11 00:00:00,3,,,,,,,,海月,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , 海月, , , , ",0,1,紅紅紅,0>4,,,德,梅,,奧,梅,忠,德,367,N,N,Y
277,"478 16+
239
238
456
456
ooo
4567
4567
1348
3589 5-
3480
ooxx
0>5 o
1456 4-
2569
3569 7+
2450 2-
1569
ooox
5>9 o
35679
35679
35689 356-
35679 124+
ooooo
9>6 o 
35690
23569 2569- 1+
23569
35679
oooox",107489,,面瓦,2022-09-11 00:00:00,4,,,海月,,,,,,,,,,三紅,ooo,ooxx,ooox,ooooo,oooox,藍,紅,紅,藍,紅,"海月, , , , , , , , , ",0,1,藍紅紅藍紅,0>5,5>9,9>6,娜,忠,梅,刺,奧,忠,娜,478,N,N,Y
278,"459 1+
256
379 8+
147
569
ooo
5679
5679
2569 8+
1569 2+
2560
ooox
0>5 o
1569
2569
3569
1479 8+
1569
oooo
5>9 o
15679 248+
ooooo",830416,6.0,面瓦,2022-09-11 00:00:00,5,,,Kay,史萊姆,痴痴,海月,池,皮皮,湧傑,C5,NICK徐,阿賢,三藍死,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,"KAY, 史萊姆, 痴痴, 海月, 池, 皮皮, 湧傑, C5, NICK徐, 阿賢",1,1,藍紅藍藍,0>5,5>9,,德,忠,忠,派,奧,忠,德,459,Y,N,Y
279,"148
245
379
468
459
oox
4680
2578 25-
1480
1690
2580
oooo
0>5 x
1468
2460 6-
2360 6-
1246 357890+
ooox
5>9 o
15789 89-
24690 9-
12479 249-
12489 4-
14890
ooxxx",845193,,面瓦,2022-09-11 00:00:00,6,,,Kay,史萊姆,痴痴,海月,池,皮皮,湧傑,C5,NICK徐,阿賢,三紅,oox,oooo,ooox,ooxxx,,紅,藍,紅,紅,,"KAY, 史萊姆, 痴痴, 海月, 池, 皮皮, 湧傑, C5, NICK徐, 阿賢",1,1,紅藍紅紅,0>5,5>9,,忠,德,派,奧,娜,德,忠,148,N,N,N
280,"150
268 9+
236 14+
249 1+
258
oox
2690
4789
3478
1279
1260
ooox
0>2 o
1234 2-
2789 10+
oooo
2>1 o
12789
ooooo
1>6 x
12789
ooooo",356490,0.0,線瓦,2022-09-25 00:00:00,1,,,,,,,海月,,,,,,三藍死,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , 海月, , , , , ",0,1,紅紅藍藍藍,0>2,2>1,1>6,梅,忠,忠,忠,奧,娜,梅,150,Y,Y,N
281,"239 1+
289 1+
237 1+
246
357
ooo
2360
3570
3578
1269 4+
2670
ooox
0>6 o
2349 1+
2467 7-
3567
2346 19+
ooox
6>7 o
35678 678-
36789 378-
13678 8- 2+
34578 0+
ooooo
7>9 x
34578
ooooo",692048,8.0,線瓦,2022-09-25 00:00:00,2,,,,,,,,,海月,,,,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , , , , 海月, , , ",0,1,藍紅紅藍藍,0>6,6>7,7>9,奧,刺,忠,忠,派,忠,奧,239,N,N,Y
282,"147
237
236
450
458
ooo
4568
2378
4589 3+
4589 5-
3690
ooox
0>3 o
1458
2458
3458
2458
1458
oooo
3>9 x
14568
ooooo",306751,5.0,線瓦,2022-09-25 00:00:00,3,,,,,,,,,,海月,,,三藍活,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,", , , , , , , 海月, , ",0,1,藍紅藍藍,0>3,3>9,,娜,刺,忠,梅,忠,派,娜,147,N,N,N
283,"147
289
378
470
350
oox
3679
1470
2389
4790
1670
oooo
0>6 o
1670
ooox
6>4 o
24680 460-
23468 46-
14680 37+
ooooo
4>7 x
14680 468- 357+
14680 357+
ooooo",952743,3.0,線瓦,2022-09-25 00:00:00,4,,,,,,,,,,,,海月,三藍死,oox,oooo,ooox,ooooo,ooooo,紅,藍,紅,藍,藍,", , , , , , , , , 海月",0,1,紅藍紅藍藍,0>6,6>4,4>7,忠,忠,派,忠,派,娜,忠,147,N,N,N
284,"368 1+
230
389 1+
459
459
oxx
3680
1370
1368
1367 9+
2360
ooxx
0>1 o
1678 230+
oooo
1>3 x
12360 1360-
16780 23+
ooooo
3>5 o
16780
ooooo",293576,7.0,面瓦,2022-10-01 00:00:00,1,,古亭,,,海月,,,,,,,,三藍活,oxx,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , 海月, , , , , , , ",0,1,紅紅藍藍藍,0>1,1>3,3>5,忠,忠,德,忠,忠,奧,忠,368,N,N,Y
285,"178
268
689 3+
147
158
ooo
3680
1589 7+
1560
1589 5-
1580
ooox
0>5 o
1457
2568
3569
1457
5678
oooo
5>7 o
25678
oooox",240385,5.0,面瓦,2022-10-01 00:00:00,2,,古亭,,,,海月,,,,,,,三藍死,ooo,ooox,oooo,oooox,,藍,紅,藍,藍,,", , , 海月, , , , , , ",0,1,藍紅藍藍,0>5,5>7,,德,梅,忠,忠,娜,梅,德,178,N,N,N
286,"136
269
367
345
458
oox
3670
1789
7890 7-
2679
2470
ooox
0>4 o
1460
2469 6-
3456 6-
4690
oooo
4>8 x
46790
ooooo
8>1 o
46790
ooooo",382170,9.0,面瓦,2022-10-01 00:00:00,3,,古亭,,,,,,,海月,,,,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , 海月, , , ",0,1,紅紅藍藍藍,0>4,4>8,8>1,梅,忠,娜,奧,忠,忠,梅,136,N,N,N
287,"680 1+
237
380
456
568
oox
2679
7890
5780
7890
5790
ooox
0>5 x
1790
2380 0-
3780
4780
ooox",697582,,面瓦,2022-10-01 00:00:00,4,,古亭,海月,,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"海月, , , , , , , , , ",0,1,紅紅紅,0>5,,,忠,奧,,忠,忠,奧,忠,680,N,Y,Y
288,"148
470 2+
360 2+
489
568
oox
5670
3670
5680
5689
3590
oooo
0>3 o
3590
oooo
3>6 o
35690
ooooo",872413,3.0,面瓦,2022-10-01 00:00:00,5,,古亭,,,,海月,,,,,,,三藍死,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,", , , 海月, , , , , , ",0,1,紅藍藍藍,0>3,3>6,,忠,梅,忠,派,奧,忠,忠,148,N,N,N
289,"148
148 2+
148 23+
489
157
oox
1369
3479
4589
1490
1390
oooo
0>3 o
1390
oooo
3>9 o
12390
oooox",756231,3.0,面瓦,2022-10-01 00:00:00,6,,古亭,,,,,,,,,海月,,三藍活,oox,oooo,oooo,oooox,,紅,藍,藍,藍,,", , , , , , , , 海月, ",0,1,紅藍藍藍,0>3,3>9,,忠,派,忠,梅,忠,娜,忠,148,N,N,N
290,"167
567 2+
359
458
235
ooo
2359 68+
oooo
0>6 o
2359 
oooo",740358,9.0,面瓦,2022-10-01 00:00:00,7,,古亭,,,,,,,海月,,,,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,", , , , , , 海月, , , ",0,1,藍藍藍,0>6,,,德,忠,,忠,娜,派,德,167,N,N,N
291,"156 9+
239
367
459
358
oxx
1690 0-
6790 0-
2890 0-
2690 0-
1290
ooox
0>2 x
1469 8+
1249 9-
1479 17- 3+
1479
oooo
2>5 o
13479 0+
ooooo
13479 0+
ooooo",652870,0.0,面瓦,2022-10-01 00:00:00,8,,古亭,,,海月,,,,,,,,三藍死,oxx,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , 海月, , , , , , , ",0,1,紅紅藍藍藍,0>2,2>5,,梅,德,娜,忠,忠,娜,梅,156,Y,N,N
292,"147
267
389
450
458
oox
4560
1780
2890
2389
1780
ooox
0>5 o
1568 568-
2356
2359
1450 50-
2356
ooox",143729,,面瓦,2022-10-01 00:00:00,9,,古亭,,,,,,,海月,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , 海月, , , ",0,1,紅紅紅,0>5,,,忠,忠,,刺,娜,忠,忠,147,N,N,N
293,"128
148 2+
149 23+
478 359+
oox
1258
1469
6790
1289 5+
1459
ooxx
0>2 o
2670 2-
1278
2670 158+
oooo
2>4 x
13459 159- 
13459 159- 
25670 70- 19+
26780
ooooo
4>6 o
26780
ooooo",934507,2.0,面瓦,2022-10-01 00:00:00,10,,古亭,,,,,,海月,,,,,三藍活,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , 海月, , , , ",0,1,紅紅藍藍藍,0>2,2>4,4>6,派,忠,德,忠,德,奧,派,128,N,N,N
294,"147
678 23+
238
470
158
oox
2670
1790
2890
2389
1290
oooo
0>9 x
1270 689+
oooo
9>7 o
13670
oooox",389476,7.0,面瓦,2022-10-01 00:00:00,11,,古亭,,,,,,,海月,,,,三藍活,oox,oooo,oooo,oooox,,紅,藍,藍,藍,,", , , , , , 海月, , , ",0,1,紅藍藍藍,0>9,9>7,,忠,德,派,忠,奧,忠,忠,147,N,N,N
295,"135
267
370
458
357
oxx
2689
1260 7+
2680 1+
2690
1260
ooox
0>2 o
1240 24-
1248 4-
1249 4- 3+
1248
ooox",586329,,面瓦,2022-10-01 00:00:00,12,瓦2-4,喬?,,,,海月,,,,,,,三紅,oxx,ooox,ooox,,,紅,紅,紅,,,", , , 海月, , , , , , ",0,1,紅紅紅,0>2,,,忠,派,,忠,忠,刺,忠,135,Y,N,N
296,"370 128+
oox
1279 5+
1359 19-
4890 0-
1290 9- 5+
1690
oooo
0>9 o
1690
oooo
9>4 o
25678 6- 130+
ooxxx
34690 157+
ooooo",587206,1.0,線瓦,2022-10-02 00:00:00,1,,Kay,Dal,Kay,池,海月,ED,UD,熊,Ray,JOY,Dean,三藍活,oox,oooo,oooo,ooxxx,ooooo,紅,藍,藍,紅,藍,"DAL, KAY, 池, 海月, ED, UD, 熊, RAY, JOY, DEAN",6,1,紅藍藍紅藍,0>9,9>4,,派,忠,忠,忠,忠,刺,派,370,N,Y,Y
297,"169
478 2+
890 3+
160 4+
156
oox
6790
1379
1789
1790
1490
ooox
0>4 o
1579 7-
1489 149- 2+
1349
1489 236+
oooo
4>3 o
13489
ooooo
3>8 o
13489
ooooo",075294,8.0,線瓦,2022-10-02 00:00:00,2,,Kay,JOY,池,Ray,Dal,Dean,UD,ED,Kay,海月,熊,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,"JOY, 池, RAY, DAL, DEAN, UD, ED, KAY, 海月, 熊",6,1,紅紅藍藍藍,0>4,4>3,3>8,刺,梅,忠,忠,梅,德,刺,169,N,N,N
