# [阿瓦隆百科積分賽戰績報表](https://docs.google.com/spreadsheets/d/1BSHEw3QFDb1M4gO37anrTKYxZKc800fPEIwQn3NnEGI),,,,,,,,,,,,,,,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,
"* 最新數據統計至 2026/03/26, 包括線瓦, 面瓦以及邀請賽等所有遊戲紀錄",,,池,728,SIN,1084,,,,,,,,,,,,,,,
,,,愚勇,15,娜娜喵,9,娜娜喵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,愛鯊客,12,GH,9,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Y,7,湧傑,9,湧傑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,布叮咚瓜茶,8,布叮咚瓜茶,8,布叮咚瓜茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,滴酒不露,15,昭傑,8,昭傑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,小程,16,香菜,8,香菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,真心,21,健一,8,健一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,昭傑,8,Y,7,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BLESS,5,TOBY,7,TOBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,阿賢,9,失意,7,失意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ZZ,4,垣景,7,垣景,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,炸彈狂,2,TANG,6,TANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,何寶寶,1,小朱,6,小朱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,小乖,3,FISH,5,FISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOBY,7,OBER,5,OBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TED,10,BLESS,5,BLESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DAVID,12,ZEN,5,ZEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,小余,16,CHANMAO,5,CHANMAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,小鬼,3,WU,5,WU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,QQ,10,邱小神,4,邱小神,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DD,3,BEEFY,4,BEEFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ANDREW,1,A,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,失意,7,YL,4,YL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,胖達,3,ZZ,4,ZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,芭樂,10,2Z,4,2Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,香菜,8,大家都很乖,4,大家都很乖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,娜娜喵,9,彥,4,彥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,小菜,1,RAYN,4,RAYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2Z,4,JIM,3,JIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,大家都很乖,4,小乖,3,小乖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH,9,小鬼,3,小鬼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,湧傑,9,DD,3,DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,健一,8,胖達,3,胖達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,垣景,7,大鳥,3,大鳥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,路人余,1,百態,3,百態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,KITKAT,13,詠苡,3,詠苡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,K,1,妞,3,妞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BALABALA,2,骯髒泡泡,3,骯髒泡泡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HI,2,太陽騎士,3,太陽騎士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ZEN,5,玉米,3,玉米,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,彥,4,銓,2,銓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,大鳥,3,SCOUT,2,SCOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RAYN,4,炸彈狂,2,炸彈狂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,波波,12,BALABALA,2,BALABALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,百態,3,HI,2,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,詠苡,3,Q,2,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,YING瑩,1,小吳,1,小吳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,妞,3,祥子,1,祥子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CHANMAO,5,何寶寶,1,何寶寶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SAM,1,ANDREW,1,ANDREW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NZO,1,小菜,1,小菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,骯髒泡泡,3,路人余,1,路人余,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,1,K,1,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WU,5,YING瑩,1,YING瑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
