		46.2%	46.2%	46.2%	45.8%	23.5%	30.7%	69.3%	45.9%	23.3%	30.8%	54%	69%	69%	69%	69%	31%	31%	31%	10%	10%	10%	10%	10%	10%	40%	40%	60%	42%	40%	40%	43%	48%	43%	40%	43%	44%	45%	47%	42%	43%	69%	66%	65%	69%	75%	70%	66%	69%	69%	74%	30%	28%	28%	31%	35%	31%	29%	31%	31%	34%	10%	10%	10%	10%	10%	10%	9%	10%	10%	9%	10%	10%	10%	10%	10%	10%	10%	10%	10%	10%																																																																	
player	總場次	勝率	角色理論	位置理論	紅方三紅	紅方梅死	紅方梅活	紅勝	藍方三紅	藍方梅死	藍方梅活	三藍	刺	娜	德	奧	派	梅	忠	刺	娜	德	奧	派	梅	忠	紅角率	藍角率	1勝	2勝	3勝	4勝	5勝	6勝	7勝	8勝	9勝	0勝	雙尾派	1-5勝	6-0勝	1紅勝	2紅勝	3紅勝	4紅勝	5紅勝	6紅勝	7紅勝	8紅勝	9紅勝	0紅勝	1藍勝	2藍勝	3藍勝	4藍勝	5藍勝	6藍勝	7藍勝	8藍勝	9藍勝	0藍勝	1紅	2紅	3紅	4紅	5紅	6紅	7紅	8紅	9紅	0紅	1藍	2藍	3藍	4藍	5藍	6藍	7藍	8藍	9藍	0藍	三紅	三藍死	三藍活	三紅	三藍死	三藍活	刺	娜	德	奧	派	梅	忠	紅勝	藍勝	總勝	刺	娜	德	奧	派	梅	忠	紅場	藍場	1紅勝	2紅勝	3紅勝	4紅勝	5紅勝	6紅勝	7紅勝	8紅勝	9紅勝	0紅勝	1藍勝	2藍勝	3藍勝	4藍勝	5藍勝	6藍勝	7藍勝	8藍勝	9藍勝	0藍勝	1紅	2紅	3紅	4紅	5紅	6紅	7紅	8紅	9紅	0紅	1藍	2藍	3藍	4藍	5藍	6藍	7藍	8藍	9藍	0藍
洋蔥	561	49.0%	47.3%	47.1%	45.9%	27.0%	27.0%	73.0%	49.8%	19.6%	30.6%	50%	70%	73%	71%	78%	39%	33%	27%	10%	9%	13%	11%	11%	10%	35%	43%	57%	53%	45%	43%	44%	51%	43%	46%	31%	38%	54%	53%	47%	43%	76%	85%	74%	72%	77%	61%	74%	59%	71%	80%	28%	27%	24%	33%	38%	32%	35%	20%	22%	41%	12%	8%	11%	10%	12%	11%	8%	7%	10%	10%	6%	9%	9%	13%	12%	10%	11%	9%	10%	10%	112	66	66	158	62	97	40	37	51	50	24	19	54	178	97	275	57	51	72	64	62	58	197	244	317	22	17	20	18	23	17	14	10	17	20	5	8	7	14	15	10	12	6	7	13	29	20	27	25	30	28	19	17	24	25	18	30	29	42	39	31	34	30	32	32
LIANG	485	44.5%	45.0%	44.5%	45.5%	22.2%	32.3%	67.7%	47.6%	22.6%	29.7%	52%	64%	68%	69%	71%	31%	31%	29%	10%	12%	9%	8%	10%	10%	41%	39%	61%	55%	32%	33%	44%	45%	44%	37%	41%	35%	47%	46%	42%	41%	76%	55%	58%	67%	72%	88%	41%	54%	62%	90%	41%	26%	23%	32%	33%	26%	35%	33%	28%	23%	11%	6%	10%	11%	10%	13%	9%	13%	7%	11%	7%	9%	10%	9%	9%	13%	11%	10%	11%	9%	86	42	61	141	67	88	30	40	29	29	15	15	58	128	88	216	47	59	42	41	49	48	199	189	296	16	6	11	14	13	21	7	13	8	19	9	7	7	9	9	10	12	10	9	6	21	11	19	21	18	24	17	24	13	21	22	27	31	28	27	39	34	30	32	26
KEVIN	425	44.5%	45.6%	46.3%	49.7%	23.6%	26.8%	73.2%	48.5%	23.9%	27.6%	51%	77%	87%	65%	62%	21%	31%	28%	9%	11%	7%	10%	11%	12%	40%	37%	63%	42%	35%	44%	40%	47%	32%	29%	44%	48%	47%	47%	41%	40%	75%	82%	62%	63%	78%	54%	88%	75%	77%	88%	26%	21%	32%	28%	34%	24%	19%	34%	36%	22%	10%	11%	13%	12%	11%	8%	5%	10%	8%	10%	9%	14%	8%	9%	11%	9%	12%	13%	8%	7%	78	37	42	130	64	74	30	39	20	26	10	15	49	115	74	189	39	45	31	42	47	49	172	157	268	12	14	13	12	14	7	7	12	10	14	6	8	7	7	10	6	6	12	8	4	16	17	21	19	18	13	8	16	13	16	23	38	22	25	29	25	31	35	22	18
轆	417	50.4%	48.5%	49.3%	48.0%	27.9%	24.0%	76.0%	45.4%	23.5%	31.1%	55%	85%	80%	70%	66%	9%	33%	35%	11%	12%	11%	9%	8%	12%	37%	43%	57%	55%	46%	47%	43%	42%	55%	38%	50%	48%	39%	40%	46%	46%	83%	71%	84%	68%	81%	60%	71%	75%	81%	81%	38%	29%	28%	31%	23%	53%	28%	32%	33%	22%	10%	9%	11%	11%	9%	8%	8%	13%	12%	9%	9%	7%	11%	11%	9%	8%	12%	9%	13%	11%	86	50	43	108	56	74	40	40	31	25	3	16	55	136	74	210	47	50	44	38	34	48	156	179	238	15	12	16	13	13	9	10	18	17	13	8	5	7	8	5	10	8	7	10	6	18	17	19	19	16	15	14	24	21	16	21	17	25	26	22	19	29	22	30	27
JOY	412	46.8%	47.2%	47.2%	45.3%	21.4%	33.3%	66.7%	41.5%	24.1%	34.4%	58%	66%	71%	73%	55%	30%	38%	35%	7%	11%	11%	10%	10%	10%	41%	39%	61%	46%	31%	47%	54%	42%	43%	41%	43%	52%	38%	41%	44%	43%	73%	60%	71%	68%	54%	85%	75%	58%	59%	64%	33%	20%	36%	47%	39%	31%	25%	36%	48%	28%	9%	9%	9%	14%	8%	8%	13%	12%	11%	7%	8%	10%	9%	12%	12%	11%	11%	11%	8%	7%	72	34	53	105	61	87	19	32	33	22	13	15	59	106	87	193	29	45	45	40	43	40	170	159	253	11	9	10	15	7	11	15	11	10	7	7	5	8	14	12	9	7	10	10	5	15	15	14	22	13	13	20	19	17	11	21	25	22	30	31	29	28	28	21	18
DEAN	411	49.1%	50.1%	49.7%	43.9%	24.2%	31.8%	68.2%	40.9%	21.7%	37.4%	59%	70%	74%	68%	64%	35%	33%	39%	9%	7%	10%	13%	12%	11%	39%	38%	62%	45%	41%	44%	39%	56%	45%	43%	52%	55%	45%	51%	45%	48%	53%	56%	56%	60%	79%	62%	50%	89%	100%	78%	42%	35%	40%	31%	48%	37%	42%	36%	35%	29%	11%	10%	11%	10%	9%	13%	5%	12%	7%	11%	9%	10%	12%	10%	10%	12%	9%	11%	7%	9%	69	38	50	104	55	95	26	20	27	34	17	15	63	107	95	202	37	27	40	53	48	45	161	157	254	9	9	10	9	11	13	4	17	11	14	10	9	12	8	12	11	10	10	6	7	17	16	18	15	14	21	8	19	11	18	24	26	30	26	25	30	24	28	17	24
豬豬	395	40.5%	42.3%	42.1%	40.3%	27.8%	31.9%	68.1%	54.6%	20.7%	24.7%	45%	68%	63%	73%	70%	24%	13%	28%	9%	10%	8%	10%	11%	12%	41%	36%	64%	37%	24%	28%	24%	53%	44%	28%	33%	39%	54%	54%	33%	40%	57%	60%	60%	50%	89%	89%	63%	73%	65%	70%	31%	15%	14%	17%	42%	24%	21%	22%	22%	43%	10%	7%	10%	8%	6%	13%	6%	8%	16%	16%	12%	10%	9%	12%	8%	12%	10%	11%	9%	9%	58	40	46	137	52	62	23	25	22	28	11	6	45	98	62	160	34	40	30	40	45	46	160	144	251	8	6	9	6	8	17	5	8	15	16	9	4	3	5	8	7	5	6	5	10	14	10	15	12	9	19	8	11	23	23	29	26	22	29	19	29	24	27	23	23
發達	376	47.1%	46.9%	45.9%	48.0%	20.7%	31.3%	68.7%	45.6%	21.7%	32.7%	54%	68%	71%	67%	69%	24%	46%	31%	9%	11%	12%	8%	9%	11%	40%	40%	60%	57%	36%	48%	31%	41%	46%	36%	40%	43%	53%	47%	43%	44%	78%	47%	71%	54%	63%	74%	73%	62%	75%	80%	39%	32%	40%	15%	36%	32%	25%	29%	24%	42%	15%	10%	11%	9%	5%	13%	7%	9%	11%	10%	8%	14%	13%	6%	11%	11%	11%	8%	8%	12%	72	31	47	103	49	74	23	30	30	20	8	19	47	103	74	177	34	42	45	29	33	41	152	150	226	18	7	12	7	5	14	8	8	12	12	7	10	12	2	9	8	6	5	4	11	23	15	17	13	8	19	11	13	16	15	18	31	30	13	25	25	24	17	17	26
雪怪	369	45.3%	46.0%	46.5%	47.4%	20.7%	31.9%	68.1%	43.6%	24.4%	32.1%	56%	76%	74%	66%	53%	31%	26%	33%	9%	12%	8%	8%	7%	9%	47%	37%	63%	41%	39%	39%	38%	53%	28%	50%	43%	46%	40%	47%	42%	42%	64%	53%	86%	83%	76%	56%	83%	60%	64%	58%	32%	32%	31%	24%	43%	14%	32%	37%	39%	35%	10%	11%	5%	9%	13%	12%	13%	7%	10%	9%	9%	9%	11%	11%	12%	9%	9%	8%	10%	11%	64	28	43	102	57	75	25	32	19	16	8	9	58	92	75	167	33	43	29	30	26	34	174	135	234	9	8	6	10	13	9	15	6	9	7	7	7	8	6	12	3	7	7	9	9	14	15	7	12	17	16	18	10	14	12	22	22	26	25	28	21	22	19	23	26
黃某人	352	44.3%	42.7%	43.3%	44.8%	22.1%	33.1%	66.9%	51.0%	22.2%	26.8%	49%	65%	67%	62%	72%	41%	29%	23%	11%	12%	8%	12%	9%	10%	38%	44%	56%	22%	46%	42%	51%	36%	45%	44%	29%	51%	43%	39%	39%	42%	50%	58%	60%	79%	69%	64%	73%	64%	75%	85%	10%	36%	33%	31%	19%	36%	30%	17%	33%	25%	9%	17%	10%	9%	10%	9%	10%	7%	10%	8%	11%	11%	11%	7%	11%	11%	10%	12%	8%	10%	69	34	51	101	44	53	26	28	18	31	13	10	30	103	53	156	40	42	29	43	32	34	132	154	198	7	15	9	11	11	9	11	7	12	11	2	8	7	4	4	8	6	4	5	5	14	26	15	14	16	14	15	11	16	13	21	22	21	13	21	22	20	23	15	20
